salary,rank,cost,LSAT,GPA,libvol,faculty,age,clsize,north,south,east,west,studfac,top10,r11_25,r26_40,r41_60
36000,100,8715,155,3.00,260,56,.,216,0,1,0,0,3.857143,0,0,0,0
49000,29,8529,161,3.55,264,55,.,124,0,0,0,1,2.254545,0,0,1,0
35000,69,13710,155,3.30,215,42,196,175,1,0,0,0,4.166667,0,0,0,0
57000,16,17750,164,3.62,329,75,112,187,0,1,0,0,2.493333,0,1,0,0
29669,152,15114,159,3.20,175,53,.,163,0,0,1,0,3.075472,0,0,0,0
37000,63,15620,160,3.41,420,74,32,228,0,0,1,0,3.081081,0,0,0,0
64000,15,15678,164,3.60,700,107,160,380,0,0,1,0,3.551402,0,1,0,0
29700,111,14200,162,3.31,250,67,91,165,0,0,1,0,2.462687,0,0,0,0
35000,102,7000,154,3.27,251,59,82,148,0,0,0,1,2.508475,0,0,0,0
49000,25,10000,163,3.63,450,69,86,148,0,0,0,1,2.144928,0,1,0,0
51490,16,13600,163,3.47,297,48,136,125,0,0,1,0,2.604167,0,1,0,0
41500,41,17750,160,3.20,476,86,118,210,0,0,0,1,2.441860,0,0,0,1
35000,67,6700,158,3.35,415,66,58,234,1,0,0,0,3.545455,0,0,0,0
27900,135,11775,153,3.08,301,59,.,251,0,0,1,0,4.254237,0,0,0,0
29630,156,15960,155,3.00,230,40,10,247,0,0,0,1,6.175000,0,0,0,0
29750,138,14200,154,3.10,481,206,.,679,0,0,1,0,3.296117,0,0,0,0
36000,66,12800,157,3.20,244,39,102,182,0,0,1,0,4.666667,0,0,0,0
49321,17,13530,162,3.34,300,50,206,178,0,0,1,0,3.560000,0,1,0,0
49900,21,11334,161,3.40,.,47,.,285,1,0,0,0,6.063830,0,1,0,0
31500,143,7396,157,3.40,174,17,65,79,0,0,0,1,4.647059,0,0,0,0
69000,3,19780,171,3.82,850,100,140,101,0,0,1,0,1.010000,1,0,0,0
29800,120,12870,.,.,200,35,.,327,1,0,0,0,9.342857,0,0,0,0
