exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,id,t,tdum1,tdum2,tdum3,tdum4,tdum5,tdum6,tdum7,exp2
29,47,0,1,1,1,1,0,0,16,0,7.7186899,18,5,0,0,0,0,1,0,0,841
30,48,0,1,1,1,1,0,0,16,0,7.7832198,18,6,0,0,0,0,0,1,0,900
31,47,0,1,1,1,1,0,0,16,0,7.8038402,18,7,0,0,0,0,0,0,1,961
40,37,1,1,0,1,1,0,1,12,0,6.3868799,19,1,1,0,0,0,0,0,0,1600
41,49,1,1,0,1,1,0,1,12,0,6.4738898,19,2,0,1,0,0,0,0,0,1681
42,50,1,1,0,1,1,0,1,12,0,6.54247,19,3,0,0,1,0,0,0,0,1764
43,47,1,1,0,1,1,0,1,12,0,6.6758199,19,4,0,0,0,1,0,0,0,1849
44,47,1,1,0,1,1,0,1,12,0,6.7417002,19,5,0,0,0,0,1,0,0,1936
45,25,1,1,0,1,1,0,1,12,0,6.8319502,19,6,0,0,0,0,0,1,0,2025
46,40,1,1,0,1,1,0,1,12,0,6.9363399,19,7,0,0,0,0,0,0,1,2116
25,50,0,0,0,0,1,0,0,16,0,6.78333,20,1,1,0,0,0,0,0,0,625
26,49,0,1,0,0,1,0,0,16,0,6.8575101,20,2,0,1,0,0,0,0,0,676
27,49,0,1,0,0,1,0,0,16,0,6.9847202,20,3,0,0,1,0,0,0,0,729
28,48,0,1,0,0,1,0,0,16,0,7.0579,20,4,0,0,0,1,0,0,0,784
29,48,0,1,0,0,1,0,0,16,0,7.2056398,20,5,0,0,0,0,1,0,0,841
30,49,0,1,0,0,1,0,0,16,0,7.10988,20,6,0,0,0,0,0,1,0,900
31,48,0,1,0,0,1,0,0,16,0,7.26683,20,7,0,0,0,0,0,0,1,961
28,42,1,1,1,0,1,0,1,4,0,6.0591202,21,1,1,0,0,0,0,0,0,784
29,46,1,1,1,0,1,0,1,4,0,6.0520902,21,2,0,1,0,0,0,0,0,841
30,49,1,1,1,0,1,0,1,4,0,5.9914598,21,3,0,0,1,0,0,0,0,900
31,49,1,1,1,0,1,0,1,4,0,6.2146101,21,4,0,0,0,1,0,0,0,961
32,48,1,0,1,0,1,0,1,4,0,6.3243599,21,5,0,0,0,0,1,0,0,1024
33,45,1,0,1,0,1,0,1,4,0,6.4425402,21,6,0,0,0,0,0,1,0,1089
34,42,1,1,1,0,1,0,1,4,0,6.4425402,21,7,0,0,0,0,0,0,1,1156
20,46,0,0,0,0,1,0,0,14,0,6.5998702,22,1,1,0,0,0,0,0,0,400
21,45,0,0,0,0,1,0,0,14,0,6.5998702,22,2,0,1,0,0,0,0,0,441
22,44,0,0,0,0,1,0,0,14,0,6.6846099,22,3,0,0,1,0,0,0,0,484
23,46,0,0,0,0,1,0,0,14,0,6.7274299,22,4,0,0,0,1,0,0,0,529
24,47,0,0,0,0,1,0,0,14,0,6.8824401,22,5,0,0,0,0,1,0,0,576
25,51,0,1,0,0,1,0,0,14,0,6.9565501,22,6,0,0,0,0,0,1,0,625
26,47,0,0,0,0,1,0,0,14,0,7.0475202,22,7,0,0,0,0,0,0,1,676
11,50,0,0,0,1,1,0,0,16,0,6.9057498,23,1,1,0,0,0,0,0,0,121
12,50,0,0,0,1,1,0,0,16,0,6.9057498,23,2,0,1,0,0,0,0,0,144
13,51,0,0,0,1,1,0,0,16,0,7.4955401,23,3,0,0,1,0,0,0,0,169
14,50,0,0,0,1,1,0,0,16,0,7.66153,23,4,0,0,0,1,0,0,0,196
15,48,0,0,0,1,1,0,0,16,0,7.8632698,23,5,0,0,0,0,1,0,0,225
16,47,0,0,0,1,1,0,0,16,0,8.0391598,23,6,0,0,0,0,0,1,0,256
17,50,0,0,0,1,1,0,0,16,0,7.8935699,23,7,0,0,0,0,0,0,1,289
5,30,0,0,0,0,0,1,0,12,0,5.4380798,24,1,1,0,0,0,0,0,0,25
6,51,0,0,0,0,0,1,0,12,0,5.5214601,24,2,0,1,0,0,0,0,0,36
7,51,1,0,0,0,0,1,0,12,0,5.57973,24,3,0,0,1,0,0,0,0,49
8,52,1,0,0,0,0,1,0,12,0,5.6698799,24,4,0,0,0,1,0,0,0,64
9,49,1,0,0,0,0,1,0,12,0,5.7365699,24,5,0,0,0,0,1,0,0,81
10,51,1,0,0,0,0,1,1,12,0,5.8435402,24,6,0,0,0,0,0,1,0,100
11,50,1,0,0,0,0,1,0,12,0,5.8579302,24,7,0,0,0,0,0,0,1,121
8,37,0,0,0,1,1,0,1,17,0,6.5294199,25,1,1,0,0,0,0,0,0,64
9,39,0,0,0,1,1,0,1,17,0,6.5792499,25,2,0,1,0,0,0,0,0,81
10,40,0,0,0,1,1,0,1,17,0,6.7153802,25,3,0,0,1,0,0,0,0,100
11,38,0,0,0,1,1,0,1,17,0,6.6846099,25,4,0,0,0,1,0,0,0,121
12,38,0,0,0,1,1,0,1,17,0,6.7912202,25,5,0,0,0,0,1,0,0,144
13,39,0,0,0,1,1,0,1,17,0,6.97541,25,6,0,0,0,0,0,1,0,169
14,41,0,0,0,1,1,0,1,17,0,6.9077601,25,7,0,0,0,0,0,0,1,196
14,48,0,1,1,1,1,0,0,15,0,6.4769702,26,1,1,0,0,0,0,0,0,196
15,47,1,1,1,1,1,0,0,15,0,6.5510802,26,2,0,1,0,0,0,0,0,225
16,49,0,1,1,1,1,0,0,15,0,6.86693,26,3,0,0,1,0,0,0,0,256
17,48,0,1,1,1,1,0,0,15,0,6.8564601,26,4,0,0,0,1,0,0,0,289
18,47,0,1,1,1,1,0,0,15,0,7.2793198,26,5,0,0,0,0,1,0,0,324
19,47,0,1,1,1,1,0,0,15,0,7.5496101,26,6,0,0,0,0,0,1,0,361
20,48,0,1,1,1,1,0,0,15,0,7.3670802,26,7,0,0,0,0,0,0,1,400
8,50,0,0,0,1,0,0,0,16,0,6.01616,27,1,1,0,0,0,0,0,0,64
9,52,0,0,0,1,0,0,0,16,0,6.9057498,27,2,0,1,0,0,0,0,0,81
10,48,0,0,0,0,0,0,0,16,0,7.0475202,27,3,0,0,1,0,0,0,0,100
11,50,0,0,0,0,0,0,0,16,0,7.26193,27,4,0,0,0,1,0,0,0,121
12,50,0,0,0,0,0,0,0,16,0,7.0900798,27,5,0,0,0,0,1,0,0,144
13,45,0,0,0,0,0,0,0,16,0,6.9631901,27,6,0,0,0,0,0,1,0,169
14,23,0,0,0,0,0,0,0,16,0,7.31322,27,7,0,0,0,0,0,0,1,196
26,50,1,0,0,1,1,0,0,12,0,6.7333999,28,1,1,0,0,0,0,0,0,676
27,50,1,0,0,1,1,0,0,12,0,6.6970301,28,2,0,1,0,0,0,0,0,729
28,50,1,0,0,1,1,0,0,12,0,6.6846099,28,3,0,0,1,0,0,0,0,784
29,50,1,0,0,1,1,0,0,12,0,6.7452402,28,4,0,0,0,1,0,0,0,841
30,50,1,0,0,1,1,0,0,12,0,6.73102,28,5,0,0,0,0,1,0,0,900
31,49,1,0,0,1,1,0,0,12,0,6.8023901,28,6,0,0,0,0,0,1,0,961
32,49,1,0,0,1,1,0,0,12,0,6.7452402,28,7,0,0,0,0,0,0,1,1024
31,49,0,0,0,1,1,0,0,14,0,6.9057498,29,1,1,0,0,0,0,0,0,961
32,49,0,0,0,1,1,0,0,14,0,6.9057498,29,2,0,1,0,0,0,0,0,1024
33,49,0,0,0,1,1,0,0,14,0,7.0621901,29,3,0,0,1,0,0,0,0,1089
34,49,0,0,0,1,1,0,0,14,0,7.5755801,29,4,0,0,0,1,0,0,0,1156
35,50,0,0,0,1,1,0,0,14,0,7.6732202,29,5,0,0,0,0,1,0,0,1225
36,49,0,0,0,1,1,0,0,14,0,7.4730701,29,6,0,0,0,0,0,1,0,1296
37,49,0,0,0,1,1,0,0,14,0,7.5600801,29,7,0,0,0,0,0,0,1,1369
17,47,0,0,1,1,0,1,0,12,0,6.1964402,30,1,1,0,0,0,0,0,0,289
18,47,0,0,1,1,0,1,0,12,0,6.2989502,30,2,0,1,0,0,0,0,0,324
19,48,0,0,1,1,0,1,0,12,0,6.3315001,30,3,0,0,1,0,0,0,0,361
20,49,0,0,1,1,0,1,0,12,0,6.36303,30,4,0,0,0,1,0,0,0,400
21,49,0,0,1,1,0,1,0,12,0,6.4815798,30,5,0,0,0,0,1,0,0,441
22,45,0,0,1,1,0,1,0,12,0,6.5778599,30,6,0,0,0,0,0,1,0,484
23,49,0,0,1,1,0,1,0,12,0,6.6437898,30,7,0,0,0,0,0,0,1,529
22,48,0,1,0,1,1,0,0,17,0,6.9057498,31,1,1,0,0,0,0,0,0,484
23,48,0,1,0,1,1,0,0,17,0,6.9057498,31,2,0,1,0,0,0,0,0,529
24,48,0,1,0,1,1,0,0,17,0,7.31322,31,3,0,0,1,0,0,0,0,576
25,47,0,1,0,1,1,0,0,17,0,7.2442298,31,4,0,0,0,1,0,0,0,625
26,43,0,1,0,1,1,0,0,17,0,7.4843702,31,5,0,0,0,0,1,0,0,676
27,47,0,0,0,1,1,0,0,17,0,7.5496101,31,6,0,0,0,0,0,1,0,729
28,45,0,1,0,1,1,0,0,17,0,7.6133199,31,7,0,0,0,0,0,0,1,784
30,50,0,1,0,1,1,0,0,16,0,6.9057498,32,1,1,0,0,0,0,0,0,900
31,49,0,1,0,1,1,0,0,16,0,6.9057498,32,2,0,1,0,0,0,0,0,961
32,49,0,1,0,1,1,0,0,16,0,7.46737,32,3,0,0,1,0,0,0,0,1024
33,48,0,1,0,1,1,0,0,16,0,7.4085302,32,4,0,0,0,1,0,0,0,1089
34,49,0,1,0,1,1,0,0,16,0,7.6058898,32,5,0,0,0,0,1,0,0,1156
35,47,0,1,0,1,1,0,0,16,0,8.04879,32,6,0,0,0,0,0,1,0,1225
36,47,0,1,0,1,1,0,0,16,0,7.7406602,32,7,0,0,0,0,0,0,1,1296
14,51,0,0,0,1,1,0,0,16,0,6.9057498,33,1,1,0,0,0,0,0,0,196
15,47,0,0,0,1,1,0,0,16,0,6.9057498,33,2,0,1,0,0,0,0,0,225
16,51,0,0,0,1,1,0,0,16,0,7.1701198,33,3,0,0,1,0,0,0,0,256
17,47,0,0,0,1,1,0,0,16,0,7.2793198,33,4,0,0,0,1,0,0,0,289
18,48,0,0,0,1,1,0,0,16,0,7.2406502,33,5,0,0,0,0,1,0,0,324
19,50,0,0,0,1,1,0,0,16,0,7.3777599,33,6,0,0,0,0,0,1,0,361
20,49,0,0,0,1,1,0,0,16,0,7.46737,33,7,0,0,0,0,0,0,1,400
45,48,1,0,1,0,1,0,0,8,0,5.7589002,34,1,1,0,0,0,0,0,0,2025
46,48,1,0,1,0,1,0,0,8,0,5.8607898,34,2,0,1,0,0,0,0,0,2116
47,48,1,0,1,0,1,0,0,8,0,5.82305,34,3,0,0,1,0,0,0,0,2209
48,49,1,0,1,0,1,0,0,8,0,5.94803,34,4,0,0,0,1,0,0,0,2304
49,50,1,0,1,0,1,0,0,8,0,6.2480402,34,5,0,0,0,0,1,0,0,2401
50,48,1,0,1,0,1,0,0,8,0,6.2065802,34,6,0,0,0,0,0,1,0,2500
51,46,1,0,1,0,1,0,0,8,0,5.9839401,34,7,0,0,0,0,0,0,1,2601
8,30,1,0,0,1,1,0,1,13,1,6.5147099,35,1,1,0,0,0,0,0,0,64
9,49,1,1,0,1,1,0,1,13,1,6.6107001,35,2,0,1,0,0,0,0,0,81
10,48,1,1,0,1,1,0,1,13,1,6.3969302,35,3,0,0,1,0,0,0,0,100
11,49,1,1,0,1,1,0,1,13,1,6.7522702,35,4,0,0,0,1,0,0,0,121
12,34,1,1,0,1,1,0,1,13,1,6.8865299,35,5,0,0,0,0,1,0,0,144
13,48,1,1,0,1,1,0,1,13,1,7.0121198,35,6,0,0,0,0,0,1,0,169
14,45,1,1,0,1,1,0,1,13,1,7.0255399,35,7,0,0,0,0,0,0,1,196
15,52,1,0,1,1,1,0,0,10,0,6.62007,36,1,1,0,0,0,0,0,0,225
16,47,0,0,1,1,1,0,0,10,0,6.77422,36,2,0,1,0,0,0,0,0,256
17,50,0,0,1,0,1,0,0,10,0,7.1308999,36,3,0,0,1,0,0,0,0,289
18,50,0,0,1,0,1,0,0,10,0,7.0884099,36,4,0,0,0,1,0,0,0,324
19,48,0,0,1,1,1,0,0,10,0,7.1308999,36,5,0,0,0,0,1,0,0,361
20,50,0,0,1,1,1,0,0,10,0,6.9077601,36,6,0,0,0,0,0,1,0,400
21,41,0,0,1,1,1,0,0,10,0,7.1800699,36,7,0,0,0,0,0,0,1,441
12,52,0,0,0,1,1,0,0,14,0,6.9057498,37,1,1,0,0,0,0,0,0,144
13,47,0,0,0,1,1,0,0,14,0,6.7417002,37,2,0,1,0,0,0,0,0,169
14,50,0,0,0,1,1,0,0,14,0,7.0030699,37,3,0,0,1,0,0,0,0,196
15,49,0,0,0,1,1,0,0,14,0,7.1308999,37,4,0,0,0,1,0,0,0,225
16,50,0,0,0,1,1,0,0,14,0,7.1428299,37,5,0,0,0,0,1,0,0,256
17,48,0,0,0,1,1,0,0,14,0,7.2827601,37,6,0,0,0,0,0,1,0,289
18,49,0,0,0,1,0,0,0,14,0,7.4091401,37,7,0,0,0,0,0,0,1,324
10,48,1,1,0,0,1,0,1,12,0,6.0520902,38,1,1,0,0,0,0,0,0,100
11,49,1,1,0,0,1,0,1,12,0,6.0520902,38,2,0,1,0,0,0,0,0,121
12,48,1,1,0,0,1,0,1,12,0,6.0520902,38,3,0,0,1,0,0,0,0,144
13,48,1,1,0,0,1,0,1,12,0,6.3681898,38,4,0,0,0,1,0,0,0,169
14,49,1,1,0,0,1,0,1,12,0,6.4361501,38,5,0,0,0,0,1,0,0,196
15,48,0,1,0,0,1,0,1,12,0,6.5496502,38,6,0,0,0,0,0,1,0,225
16,49,1,1,0,0,1,0,1,12,0,6.52209,38,7,0,0,0,0,0,0,1,256
6,47,0,0,0,1,1,0,0,13,0,6.4769702,39,1,1,0,0,0,0,0,0,36
7,51,0,0,0,1,0,0,0,13,0,6.5861702,39,2,0,1,0,0,0,0,0,49
8,48,0,0,0,1,0,0,0,13,0,6.4769702,39,3,0,0,1,0,0,0,0,64
9,50,0,0,0,1,0,0,0,13,0,6.5294199,39,4,0,0,0,1,0,0,0,81
10,50,0,0,0,1,0,0,0,13,0,6.8023901,39,5,0,0,0,0,1,0,0,100
11,52,0,0,0,1,0,0,0,13,0,6.7799201,39,6,0,0,0,0,0,1,0,121
12,51,0,0,0,1,1,0,0,13,0,6.80793,39,7,0,0,0,0,0,0,1,144
30,47,0,0,1,0,1,0,1,8,0,6.3578401,40,1,1,0,0,0,0,0,0,900
31,39,0,0,1,0,1,0,1,8,0,6.4997902,40,2,0,1,0,0,0,0,0,961
32,32,0,0,1,0,1,0,1,8,0,6.5820298,40,3,0,0,1,0,0,0,0,1024
33,35,0,0,1,0,1,0,1,8,0,6.6945601,40,4,0,0,0,1,0,0,0,1089
34,47,0,0,1,0,1,0,1,8,0,6.7878399,40,5,0,0,0,0,1,0,0,1156
35,45,0,0,1,0,1,0,1,8,0,6.9077601,40,6,0,0,0,0,0,1,0,1225
36,47,0,0,1,0,1,0,1,8,0,7.3581901,40,7,0,0,0,0,0,0,1,1296
20,50,0,0,1,1,1,0,0,16,0,6.9057498,41,1,1,0,0,0,0,0,0,400
21,50,0,0,1,1,1,0,0,16,0,6.9057498,41,2,0,1,0,0,0,0,0,441
22,50,0,0,1,1,1,0,0,16,0,7.3777599,41,3,0,0,1,0,0,0,0,484
23,50,0,0,1,1,1,0,0,16,0,7.4910898,41,4,0,0,0,1,0,0,0,529
24,50,0,0,1,1,1,0,0,16,0,7.5755801,41,5,0,0,0,0,1,0,0,576
25,48,0,0,1,1,1,0,0,16,0,7.5283298,41,6,0,0,0,0,0,1,0,625
26,47,0,0,1,1,1,0,0,16,0,7.7449999,41,7,0,0,0,0,0,0,1,676
30,38,1,1,0,1,0,1,1,12,1,6.2185998,42,1,1,0,0,0,0,0,0,900
