voteA,district,democA,state,expendA,expendB,prtystrA,lexpendB,shareA
36,1,0,25,147.89,652.20,58,6.480350,18.48
48,3,0,26,981.86,678.65,63,6.520101,59.13
34,4,1,26,53.96,252.82,45,5.532690,17.59
38,6,0,26,38.92,123.63,54,4.817309,23.94
32,9,0,26,57.26,403.06,54,5.999083,12.44
49,1,1,27,576.68,559.13,46,6.326389,50.77
27,3,0,27,41.67,267.63,46,5.589617,13.47
43,3,0,28,90.89,364.09,60,5.897393,19.98
35,5,1,28,35.63,337.79,44,5.822430,9.54
39,15,1,28,162.16,602.94,67,6.401821,21.19
16,17,0,28,2.85,170.57,22,5.139128,1.64
29,22,1,28,10.43,411.06,43,6.018730,2.47
38,23,0,28,174.79,273.51,44,5.611320,38.99
28,24,1,28,15.94,151.28,42,5.019106,9.53
43,27,1,28,645.12,594.97,48,6.388503,52.02
43,30,0,28,310.70,802.89,55,6.688213,27.90
47,31,1,28,453.46,688.38,44,6.534344,39.71
35,1,0,29,16.76,82.15,54,4.408510,16.94
42,4,0,29,745.73,1006.64,56,6.914374,42.56
47,5,0,29,718.02,756.11,60,6.628193,48.71
38,6,1,29,583.01,738.09,39,6.604063,44.13
48,8,0,29,242.78,581.89,62,6.366278,29.44
39,10,1,29,44.33,302.21,35,5.711139,12.79
29,1,0,30,1.15,143.21,57,4.964312,0.80
28,2,1,31,13.96,125.68,38,4.833755,10.00
26,6,1,31,43.49,884.75,36,6.785310,4.68
19,9,0,31,47.94,244.03,47,5.497291,16.42
38,11,0,31,860.77,561.07,56,6.329846,60.54
25,14,0,31,13.24,419.01,48,6.037883,3.06
25,15,1,31,6.68,211.96,38,5.356412,3.06
23,17,0,31,2.39,96.00,38,4.564379,2.43
30,19,0,31,0.52,226.09,55,5.420916,0.23
48,1,1,32,253.59,484.58,39,6.183293,34.35
35,2,0,32,81.63,358.70,53,5.882500,18.54
28,5,1,32,0.30,318.82,33,5.764633,0.09
28,4,0,33,58.56,279.81,46,5.634107,17.31
24,1,0,34,1.64,234.96,34,5.459403,0.69
37,3,0,34,23.10,250.48,52,5.523379,8.44
37,6,0,34,12.00,121.43,62,4.799379,8.99
32,7,1,34,203.58,507.36,40,6.229221,28.64
43,8,0,34,507.68,1089.61,62,6.993577,31.78
33,13,1,34,60.67,225.41,44,5.417930,21.21
43,15,1,34,355.02,752.33,45,6.623178,32.06
38,23,1,34,106.46,336.67,44,5.819118,24.02
44,1,1,35,801.29,385.40,58,5.954287,67.52
36,1,1,36,82.04,118.70,39,4.776616,40.87
46,3,0,36,354.58,641.43,67,6.463698,35.60
48,4,0,36,630.91,1143.35,68,7.041718,35.56
28,1,0,37,199.42,632.10,53,6.449056,23.98
24,6,0,38,12.62,454.35,61,6.118859,2.70
38,1,0,39,94.48,505.61,53,6.225768,15.74
39,5,0,39,179.20,646.22,50,6.471137,21.71
32,6,1,39,17.41,654.26,38,6.483505,2.59
48,13,0,39,476.22,384.74,64,5.952563,55.31
47,14,0,39,645.99,600.11,58,6.397120,51.84
35,23,0,39,6.36,187.30,51,5.232722,3.29
31,26,1,39,189.78,314.90,32,5.752264,37.60
40,1,1,40,391.93,426.90,28,6.056554,47.86
43,2,0,40,254.82,676.47,60,6.516891,27.36
27,1,1,41,30.30,284.70,40,5.651443,9.62
32,10,1,41,241.45,758.36,43,6.631165,24.15
45,1,1,42,625.93,1321.02,51,7.186160,32.15
50,3,0,42,354.14,684.21,49,6.528259,34.11
24,5,0,42,13.53,476.46,52,6.166384,2.76
32,6,0,42,37.62,288.17,50,5.663544,11.55
29,8,1,42,12.60,300.05,44,5.703942,4.03
25,1,0,43,15.22,103.15,49,4.636223,12.86
39,4,0,43,32.04,152.27,42,5.025662,17.38
32,3,1,44,22.63,359.80,53,5.885551,5.92
36,5,0,44,197.46,1278.53,36,7.153463,13.38
38,7,0,44,202.59,450.72,46,6.110837,31.01
30,8,1,44,14.42,227.82,47,5.428569,5.95
