price,assess,bdrms,lotsize,sqrft,colonial,lprice,lassess,llotsize,lsqrft
380.000,515.1,4,15105,2589,1,5.940171,6.244361,9.622781,7.859027
325.000,437.0,4,10859,2709,0,5.783825,6.079933,9.292749,7.904335
220.000,263.4,3,6300,1587,1,5.393628,5.573674,8.748305,7.369601
215.000,300.4,3,11554,1694,0,5.370638,5.705115,9.354787,7.434848
240.000,250.7,3,6000,1536,1,5.480639,5.524257,8.699514,7.336937
725.000,708.6,5,31000,3662,0,6.586172,6.563291,10.341740,8.205765
230.000,276.3,3,4054,1736,1,5.438079,5.621487,8.307459,7.459339
306.000,388.6,2,20700,2205,0,5.723585,5.962551,9.937889,7.698483
425.000,252.5,3,5525,1502,0,6.052089,5.531411,8.617039,7.314553
318.000,295.2,4,92681,1696,1,5.762052,5.687653,11.436920,7.436028
330.000,359.5,3,8178,2186,1,5.799093,5.884714,9.009203,7.689829
246.000,276.2,4,5944,1928,1,5.505332,5.621125,8.690138,7.564239
225.000,249.8,3,18838,1294,0,5.416101,5.520660,9.843632,7.165493
111.000,202.4,4,4315,1535,1,4.709530,5.310246,8.369853,7.336286
268.125,254.0,3,5167,1980,1,5.591453,5.537334,8.550048,7.590852
244.000,306.8,4,7893,2090,1,5.497168,5.726196,8.973732,7.644919
295.000,318.3,3,6056,1837,1,5.686975,5.762994,8.708805,7.515889
236.000,259.4,3,5828,1715,0,5.463832,5.558371,8.670429,7.447168
202.500,258.1,3,6341,1574,0,5.310740,5.553347,8.754792,7.361375
219.000,232.0,2,6362,1185,0,5.389072,5.446737,8.758098,7.077498
242.000,252.0,4,4950,1774,1,5.488938,5.529429,8.507143,7.480992
