salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility
760,14,834.4,15.8,3.0,55,0,1,0,0
600,-41,4068.7,12.8,-32.0,-6,0,1,0,0
991,18,2518.6,15.3,13.3,65,0,1,0,0
1570,14,10465.0,0.5,977.0,36,0,1,0,0
911,1,2682.4,16.5,31.5,23,0,1,0,0
1360,12,2688.2,15.1,23.0,67,0,1,0,0
700,-53,6682.3,13.0,5.8,53,0,1,0,0
741,-50,4879.9,11.1,-77.7,-26,0,1,0,0
1097,143,2772.1,8.9,595.6,20,0,1,0,0
953,15,1320.4,17.5,-4.3,83,0,1,0,0
441,-7,3408.5,15.9,-10.0,37,0,1,0,0
595,18,1919.7,14.2,31.4,61,0,1,0,0
1067,1,19020.5,9.3,-37.8,4,0,1,0,0
1298,3,4778.3,9.5,-26.7,-2,0,1,0,0
1798,-31,24332.0,15.5,-59.5,2,0,1,0,0
4143,-10,2678.4,14.4,-12.8,42,0,1,0,0
1336,8,4481.0,11.1,10.8,15,0,1,0,0
1750,11,14932.1,15.9,-7.8,62,0,1,0,0
912,15,2626.4,16.4,0.3,70,0,1,0,0
1892,-16,2659.5,8.6,-1.4,126,0,1,0,0
833,19,1073.2,24.6,14.4,51,0,1,0,0
1142,-12,2577.3,15.4,-22.4,56,0,1,0,0
1159,13,4293.8,16.9,2.6,107,0,1,0,0
1283,16,18164.0,7.2,-47.3,14,0,1,0,0
2109,42,9944.4,11.6,-42.2,23,0,1,0,0
1039,-21,12719.0,26.4,43.4,264,0,1,0,0
992,42,1931.6,21.4,-9.2,52,0,1,0,0
1253,4,2993.2,19.2,1.9,74,0,1,0,0
721,9,2127.2,15.1,-22.3,101,0,1,0,0
1351,4,4211.9,9.0,-18.0,-4,0,1,0,0
1391,25,8489.6,9.4,-27.3,26,0,1,0,0
1245,25,12222.8,19.0,-20.9,52,0,1,0,0
1550,0,11213.4,3.5,-55.4,6,0,1,0,0
2150,-61,5869.6,22.1,-38.0,68,0,1,0,0
1846,20,6193.8,10.9,-14.7,6,0,1,0,0
573,8,3053.2,15.1,-3.8,31,0,1,0,0
6640,4,8946.0,10.2,87.6,34,0,1,0,0
959,49,4045.2,17.3,-7.8,51,0,1,0,0
612,39,3618.9,33.3,-10.5,68,0,1,0,0
1820,69,1796.1,22.8,12.7,115,0,1,0,0
1411,2,6703.1,11.1,-37.2,28,0,1,0,0
1026,6,2170.3,12.4,134.6,162,0,1,0,0
1287,-12,4674.0,20.9,84.2,-47,0,0,0,1
800,162,3372.0,6.7,29.0,60,0,0,0,1
1115,-9,8205.0,7.1,13.9,23,0,0,0,1
1631,33,4617.0,11.8,227.0,75,0,0,0,1
1910,23,6964.0,14.0,2.7,43,0,0,0,1
996,-3,6623.0,10.1,-63.6,10,0,0,1,0
918,-35,29797.0,6.4,-95.0,-28,0,0,1,0
1261,21,5225.5,12.4,-54.9,1,0,0,1,0
1053,-8,3639.0,17.6,-22.3,5,0,0,1,0
1221,-43,97649.9,15.1,-85.2,-7,0,0,1,0
1738,19,10743.6,23.6,11.5,36,0,0,1,0
3142,15,10236.3,35.7,27.2,155,0,0,1,0
1900,26,17802.7,23.2,-7.8,142,0,0,1,0
427,21,6158.7,12.4,-17.7,95,0,0,1,0
1700,8,6775.2,44.4,37.7,61,0,0,1,0
360,103,298.7,2.1,23.1,302,0,0,1,0
459,9,785.3,18.4,-43.1,5,0,0,1,0
1340,5,1368.6,16.1,12.6,115,0,0,1,0
729,25,2066.1,15.1,-8.4,52,0,0,1,0
223,-6,181.5,22.7,32.6,295,0,0,1,0
2101,25,10300.0,23.4,46.9,76,0,0,1,0
1082,28,11232.0,25.7,-2.4,101,0,0,1,0
1781,31,5191.6,27.0,141.0,98,0,0,1,0
791,18,976.7,19.9,-13.2,89,0,0,1,0
2092,-11,7671.5,43.7,8.5,80,0,0,1,0
1573,10,6406.0,16.4,-11.5,87,0,0,1,0
1045,9,2917.4,11.6,-98.9,203,0,0,1,0
1694,12,3322.9,24.8,23.9,100,0,0,1,0
453,20,175.2,26.2,35.6,418,0,0,1,0
1130,1,1686.3,44.5,3.4,99,0,0,1,0
1334,13,514.1,22.3,62.4,358,0,0,1,0
1344,13,3032.7,22.3,62.4,36,0,0,1,0
1585,5,4686.9,35.1,2.2,111,0,0,1,0
1946,45,8388.1,13.1,5.9,88,0,0,1,0
1619,9,7632.8,11.0,22.6,32,0,0,1,0
1620,12,17453.8,19.4,-12.8,128,0,0,1,0
967,-27,5781.1,28.5,-11.0,119,0,0,1,0
1431,0,6896.2,43.9,3.5,110,0,0,1,0
1231,9,6503.1,26.8,19.8,84,0,0,1,0
770,-4,2715.6,15.7,-2.5,63,0,0,1,0
1594,53,2761.9,15.0,27.8,85,0,0,1,0
1568,47,5181.4,28.2,-19.1,55,0,0,1,0
995,15,1323.0,15.4,74.6,195,0,0,1,0
1077,-16,5296.0,20.0,27.5,36,0,0,1,0
1161,9,7177.0,42.2,-2.8,68,0,0,1,0
1401,1,12183.5,19.6,-2.1,93,0,0,1,0
1127,4,7863.5,16.2,26.0,152,0,0,1,0
3068,-14,3825.6,21.5,-27.6,142,0,0,1,0
730,7,1110.6,29.5,20.5,60,0,0,1,0
729,-10,1391.3,22.6,-17.2,32,0,0,1,0
11233,17,6047.9,22.9,9.9,74,0,0,1,0
949,-11,18908.0,13.0,-46.7,-3,0,0,1,0
3646,-11,3921.5,7.8,-64.2,29,0,0,1,0
1502,212,3453.8,48.1,35.1,28,0,0,1,0
807,10,1558.5,18.0,-1.0,49,0,0,1,0
713,8,962.8,18.0,7.6,81,0,0,1,0
1489,0,25848.0,21.7,380.6,114,0,0,1,0
736,73,631.5,21.3,60.8,71,0,0,1,0
1226,53,1728.9,26.9,-7.1,84,0,0,1,0
543,112,2669.3,30.5,24.9,323,0,0,1,0
14822,1,2159.2,19.4,-37.3,17,0,0,1,0
890,-18,2612.6,15.6,-49.0,-14,0,0,1,0
1627,6,8270.3,19.4,-3.7,104,0,0,1,0
2408,28,44323.0,29.1,9.8,160,0,0,1,0
2248,6,764.7,40.8,44.4,191,0,0,1,0
787,20,5167.5,13.7,-4.0,34,0,0,0,1
474,-5,2159.3,11.1,-58.2,16,0,0,0,1
439,7,2617.1,10.8,-16.1,65,0,0,0,1
465,11,2367.7,5.1,-25.0,43,0,0,0,1
594,33,2744.0,12.3,-12.2,76,0,0,0,1
688,-6,2357.9,7.4,-9.7,33,0,0,0,1
607,12,5262.0,6.2,-94.8,59,0,0,0,1
634,44,5738.9,12.7,-7.0,38,0,0,0,1
532,2,2714.9,10.6,-21.2,35,0,0,0,1
441,39,3306.7,7.4,13.0,150,0,0,0,1
694,18,3532.5,12.6,-13.8,37,0,0,0,1
520,-6,3681.5,12.8,-7.7,64,0,0,0,1
757,12,3982.1,2.9,45.4,197,0,0,0,1
668,30,2996.0,13.5,-3.3,81,0,0,0,1
803,18,4178.6,10.7,-29.9,52,0,0,0,1
500,3,2616.3,11.9,-1.3,25,0,0,0,1
552,-5,2064.5,12.9,-16.8,37,0,0,0,1
412,-5,2225.5,10.1,-27.4,13,0,0,0,1
1100,58,9470.1,7.3,76.6,82,0,0,0,1
959,26,3783.2,14.6,5.0,65,0,0,0,1
333,34,2388.7,13.8,6.5,59,0,0,0,1
503,-19,3705.2,8.9,-96.8,29,0,0,0,1
448,-8,1411.7,14.0,-33.5,14,0,0,0,1
732,7,4800.1,12.9,-11.2,36,0,0,0,1
720,8,1771.9,14.5,13.6,78,0,0,0,1
808,-16,7198.5,14.7,7.4,49,0,0,0,1
930,10,1509.1,9.0,20.5,131,0,0,0,1
525,3,1097.1,15.5,20.1,72,0,0,0,1
658,32,4542.6,12.1,-7.8,68,0,0,0,1
555,6,2023.0,13.7,-14.6,60,0,0,0,1
626,0,1442.5,14.4,-10.2,62,0,0,0,1
