lnchprg,enroll,staff,expend,salary,benefits,droprate,gradrate,math10,sci11,totcomp,ltotcomp,lexpend,lenroll,lstaff,bensal,lsalary
6.3,1673,103.0,4497,31271,6668,5.1,81.1,39.6,67.2,37939,10.54373,8.411166,7.422374,4.634729,0.213233,10.350450
6.7,2671,84.2,4141,35547,6430,0.4,98.2,30.3,57.1,41977,10.64488,8.328692,7.890208,4.433195,0.180887,10.478610
6.8,650,97.6,4403,34194,6833,0.0,100.0,54.8,72.8,41027,10.62199,8.390041,6.476973,4.580877,0.199830,10.439810
6.9,2119,89.2,4018,33345,6373,3.1,87.2,62.4,66.7,39718,10.58956,8.298539,7.658700,4.490881,0.191123,10.414660
7.8,1002,110.8,3943,25453,5246,2.8,89.0,29.7,56.5,30699,10.33199,8.279697,6.909753,4.707727,0.206105,10.144590
7.8,2549,84.6,4677,41451,7637,5.0,82.7,36.9,56.7,49088,10.80137,8.450412,7.843456,4.437934,0.184242,10.632270
8.0,5805,98.9,4357,33234,5548,2.2,89.8,22.4,57.9,38782,10.56571,8.379539,8.666475,4.594109,0.166937,10.411330
8.0,2822,91.3,4955,36954,11545,8.6,72.7,23.9,50.9,48499,10.78930,8.508152,7.945201,4.514151,0.312415,10.517430
8.1,5491,98.4,4526,34499,7398,8.0,73.8,39.2,45.0,41897,10.64297,8.417594,8.610866,4.589041,0.214441,10.448690
8.2,2331,120.5,6618,37519,8973,1.4,100.0,22.9,57.1,46492,10.74704,8.797548,7.754053,4.791650,0.239159,10.532600
8.3,4725,95.7,5195,39481,8348,5.0,87.3,27.8,64.6,47829,10.77539,8.555452,8.460623,4.561218,0.211444,10.583580
8.4,2629,102.5,4684,33867,6924,3.2,94.7,36.9,67.1,40791,10.61622,8.451908,7.874359,4.629863,0.204447,10.430200
8.4,2475,119.0,5516,34520,5671,0.2,98.9,37.3,58.4,40191,10.60140,8.615408,7.813996,4.779123,0.164282,10.449290
8.5,1278,94.5,3675,27955,6073,1.0,94.6,21.3,65.5,34028,10.43494,8.209309,7.153052,4.548600,0.217242,10.238350
8.6,8016,95.4,4635,36461,6841,0.3,98.6,48.7,57.0,43302,10.67595,8.441392,8.989195,4.558079,0.187625,10.504000
8.7,913,95.2,4006,31204,5277,3.2,87.4,34.2,45.8,36481,10.50455,8.295548,6.816736,4.555980,0.169113,10.348300
8.8,891,93.7,4291,34105,6387,0.8,88.5,32.8,51.0,40492,10.60886,8.364275,6.792345,4.540098,0.187275,10.437200
8.8,5125,102.8,4759,34315,6892,7.1,82.8,33.2,39.4,41207,10.62636,8.467793,8.541885,4.632785,0.200845,10.443340
9.0,3263,101.7,3901,28948,5262,4.4,82.7,31.7,58.3,34210,10.44027,8.268989,8.090403,4.622027,0.181774,10.273260
9.1,444,111.3,4288,26682,4346,2.5,89.4,20.0,44.0,31028,10.34265,8.363576,6.095825,4.712229,0.162881,10.191740
9.1,10591,107.0,5794,39982,7680,0.7,92.6,28.0,39.9,47662,10.77189,8.664578,9.267760,4.672829,0.192086,10.596180
9.2,13684,96.1,6838,52812,10706,4.4,80.6,23.4,65.4,63518,11.05908,8.830251,9.523983,4.565389,0.202719,10.874490
9.3,5926,107.8,4037,28053,5076,61.9,80.0,42.9,69.9,33129,10.40816,8.303257,8.687105,4.680278,0.180943,10.241850
9.3,2100,103.0,5115,37112,7451,3.2,83.8,16.8,71.0,44563,10.70466,8.539932,7.649693,4.634729,0.200771,10.521700
9.4,669,105.0,4249,36183,0,0.0,100.0,30.9,47.7,36183,10.49634,8.354439,6.505784,4.653960,0.000000,10.496340
9.5,1789,83.2,4308,36622,8429,4.3,79.4,16.2,40.4,45051,10.71555,8.368229,7.489412,4.421247,0.230162,10.508400
9.5,2674,89.6,5562,45358,9871,3.3,94.0,23.6,49.6,55229,10.91924,8.623713,7.891331,4.495355,0.217624,10.722340
9.6,2405,99.4,4353,33341,6605,3.9,87.2,18.1,60.4,39946,10.59528,8.378620,7.785305,4.599152,0.198104,10.414540
9.6,891,150.1,6810,32197,6281,3.5,87.5,30.5,61.8,38478,10.55784,8.826147,6.792345,5.011302,0.195080,10.379630
9.7,2933,89.1,3561,29504,5488,11.8,72.0,28.1,51.2,34992,10.46287,8.177796,7.983781,4.489759,0.186009,10.292280
9.7,1617,104.4,3927,27192,4953,1.8,93.4,25.5,51.3,32145,10.37801,8.275631,7.388328,4.648230,0.182149,10.210680
9.7,3341,95.6,4806,35247,8736,8.5,81.5,35.1,71.1,43983,10.69156,8.477620,8.114025,4.560173,0.247851,10.470140
9.7,4132,80.1,5461,48782,11618,1.1,94.8,47.7,58.8,60400,11.00874,8.605387,8.326517,4.383276,0.238162,10.795120
9.8,4077,83.4,3930,36440,7152,1.4,101.3,26.8,54.4,43592,10.68263,8.276395,8.313117,4.423648,0.196268,10.503420
9.9,4776,94.9,4453,34863,7764,2.3,91.1,26.8,51.3,42627,10.66024,8.401333,8.471358,4.552824,0.222700,10.459180
10.2,734,85.8,4158,34491,6178,1.1,95.7,25.5,54.7,40669,10.61322,8.332789,6.598509,4.452019,0.179119,10.448450
10.2,4242,81.4,5054,45447,10017,3.2,87.2,32.2,58.1,55464,10.92349,8.527935,8.352790,4.399375,0.220411,10.724300
10.3,3299,68.9,3332,36045,6484,0.1,101.5,36.6,71.1,42529,10.65794,8.111328,8.101375,4.232656,0.179886,10.492520
10.3,511,104.7,4700,33949,6559,1.6,97.7,37.8,52.8,40508,10.60925,8.455317,6.236370,4.651099,0.193202,10.432610
10.4,10571,81.0,4333,39643,8234,1.2,95.3,23.4,42.6,47877,10.77639,8.374016,9.265870,4.394449,0.207704,10.587670
10.5,1837,95.0,5350,40188,7982,1.9,89.6,31.3,42.2,48170,10.78249,8.584852,7.515889,4.553877,0.198617,10.601320
10.6,3003,108.4,4513,29773,8060,5.5,81.9,12.7,47.8,37833,10.54094,8.414718,8.007367,4.685828,0.270715,10.301360
10.6,3233,95.9,5622,41122,8913,2.4,90.4,20.4,63.3,50035,10.82048,8.634442,8.081165,4.563306,0.216745,10.624300
10.7,2718,82.6,3495,32759,5749,0.7,96.3,33.3,47.0,38508,10.55862,8.159089,7.907651,4.414010,0.175494,10.396930
10.7,3003,123.9,5987,34410,8602,1.0,95.4,20.7,50.5,43012,10.66923,8.697346,8.007367,4.819475,0.249985,10.446100
10.8,4528,81.5,4007,35302,8796,1.6,94.1,19.7,60.9,44098,10.69417,8.295798,8.418036,4.400603,0.249164,10.471690
11.0,2789,96.3,4747,35987,7223,2.2,91.7,25.0,37.5,43210,10.67383,8.465268,7.933438,4.567468,0.200711,10.490910
11.1,2625,94.7,4849,38399,6853,2.9,92.7,24.3,53.8,45252,10.72000,8.486527,7.872836,4.550714,0.178468,10.555790
11.1,3268,122.6,6539,37911,9491,4.7,92.4,32.5,63.3,47402,10.76642,8.785540,8.091933,4.808927,0.250350,10.543000
11.2,1767,92.1,5026,37600,8619,1.7,94.0,25.8,61.8,46219,10.74115,8.522380,7.477038,4.522875,0.229229,10.534760
11.4,5005,95.8,4575,36170,7653,0.9,94.9,29.8,52.9,43823,10.68791,8.428362,8.518192,4.562263,0.211584,10.495990
11.7,1135,103.3,4306,30977,5684,4.1,84.4,16.0,65.7,36661,10.50947,8.367764,7.034388,4.637638,0.183491,10.341000
11.7,3427,97.5,4401,34143,6032,2.4,81.9,38.8,52.1,40175,10.60100,8.389587,8.139441,4.579853,0.176669,10.438310
11.9,2504,94.2,4142,32191,5972,2.5,87.8,23.6,34.9,38163,10.54962,8.328934,7.825645,4.545420,0.185518,10.379440
11.9,1882,106.5,4521,30604,5950,1.5,102.8,23.7,36.8,36554,10.50655,8.416489,7.540090,4.668145,0.194419,10.328890
12.0,2054,93.9,3804,29280,5659,4.5,80.9,18.9,52.5,34939,10.46136,8.243809,7.627544,4.542231,0.193272,10.284660
12.0,3707,97.9,4117,31687,4619,2.9,89.3,31.6,50.3,36306,10.49974,8.322880,8.217978,4.583947,0.145770,10.363660
12.0,2963,91.3,4527,34700,7032,7.1,74.6,33.3,67.9,41732,10.63902,8.417815,7.993958,4.514151,0.202651,10.454500
12.3,3210,103.3,4256,32041,5454,3.8,85.5,23.3,53.2,37495,10.53196,8.356085,8.074026,4.637638,0.170219,10.374770
12.4,760,108.1,4200,28166,5447,0.5,97.9,25.4,62.9,33613,10.42267,8.342840,6.633318,4.683057,0.193389,10.245870
12.5,7653,114.6,7034,45252,9451,5.2,81.3,29.6,52.6,54703,10.90967,8.858511,8.942853,4.741448,0.208853,10.720000
12.6,1039,95.2,4133,32029,7284,1.4,94.8,13.5,54.0,39313,10.57931,8.326758,6.946014,4.555980,0.227419,10.374400
12.6,3084,93.4,4252,34045,6831,4.0,84.2,24.1,57.6,40876,10.61830,8.355145,8.033982,4.536891,0.200646,10.435440
12.9,2656,112.7,4162,27561,4819,0.6,97.3,24.3,53.7,32380,10.38530,8.333751,7.884576,4.724730,0.174848,10.224160
13.1,1860,92.3,3865,32436,5681,4.5,82.9,14.8,48.9,38117,10.54842,8.259717,7.528332,4.525044,0.175145,10.387020
13.1,808,88.0,4326,34730,7508,22.0,85.0,29.8,49.4,42238,10.65108,8.372398,6.694562,4.477337,0.216182,10.455360
13.1,4704,118.0,4373,28149,4244,5.8,77.7,18.7,43.1,32393,10.38570,8.383204,8.456168,4.770685,0.150769,10.245270
13.1,4521,99.3,5793,43840,8648,4.7,83.5,25.9,54.7,52488,10.86834,8.664406,8.416489,4.598145,0.197263,10.688300
13.2,2423,100.7,4385,31731,6265,2.7,89.2,32.9,59.1,37996,10.54524,8.385945,7.792762,4.612146,0.197441,10.365050
13.3,2774,91.3,4475,30860,8435,1.4,86.3,37.2,41.2,39295,10.57885,8.406261,7.928046,4.514151,0.273331,10.337220
13.4,4903,85.7,4016,35770,6927,1.2,95.3,23.6,50.9,42697,10.66188,8.298041,8.497602,4.450853,0.193654,10.484870
13.7,4941,91.8,3788,31261,6159,4.9,80.9,16.3,51.4,37420,10.52996,8.239594,8.505323,4.519612,0.197019,10.350130
13.7,4913,108.1,5438,36416,8170,6.1,76.9,25.5,53.8,44586,10.70518,8.601167,8.499640,4.683057,0.224352,10.502760
14.0,4305,89.9,4433,37855,8009,1.6,93.5,12.4,52.9,45864,10.73344,8.396832,8.367533,4.498698,0.211570,10.541520
14.1,3376,90.6,4244,34768,6635,1.0,96.5,31.0,55.6,41403,10.63111,8.353262,8.124447,4.506454,0.190836,10.456450
14.1,682,110.3,4287,27372,4893,1.7,88.7,30.2,60.3,32265,10.38174,8.363342,6.525030,4.703204,0.178759,10.217280
14.2,1824,96.9,5044,39102,6781,0.6,97.4,40.1,55.5,45883,10.73385,8.525954,7.508787,4.573679,0.173418,10.573930
14.3,1663,93.8,4033,31964,5555,2.6,89.2,27.6,48.8,37519,10.53260,8.302266,7.416378,4.541165,0.173789,10.372370
14.4,1480,101.3,3698,26779,5054,2.1,94.4,30.5,54.3,31833,10.36826,8.215548,7.299798,4.618086,0.188730,10.195370
14.4,1844,102.5,3910,27930,4956,0.8,96.5,21.1,41.2,32886,10.40080,8.271293,7.519692,4.629863,0.177444,10.237460
14.4,2221,113.5,4910,31839,6078,8.4,69.9,14.5,35.0,37917,10.54315,8.499029,7.705713,4.731803,0.190898,10.368450
14.7,2064,106.3,3945,27519,4627,8.0,76.7,20.5,74.5,32146,10.37804,8.280204,7.632401,4.666265,0.168138,10.222630
14.7,3434,99.9,4197,31407,6018,0.0,100.0,32.2,52.6,37425,10.53009,8.342125,8.141481,4.604170,0.191613,10.354790
14.8,1647,99.9,3710,27444,5156,6.7,75.4,21.5,50.7,32600,10.39207,8.218787,7.406711,4.604170,0.187873,10.219900
14.8,2670,100.8,3977,28877,5766,1.9,92.8,24.5,58.2,34643,10.45285,8.288283,7.889834,4.613138,0.199675,10.270800
14.8,5759,103.6,4952,35558,7394,3.3,84.9,30.7,48.4,42952,10.66784,8.507546,8.658519,4.640537,0.207942,10.478920
14.9,8201,93.3,5383,42811,8499,2.6,90.4,27.2,44.7,51310,10.84564,8.591002,9.012012,4.535820,0.198524,10.664550
15.0,3087,93.9,4139,32434,6834,6.7,76.9,24.8,48.7,39268,10.57817,8.328210,8.034955,4.542231,0.210705,10.386960
15.0,1689,95.2,4186,32839,5724,8.0,72.7,24.8,61.4,38563,10.56005,8.339500,7.431892,4.555980,0.174305,10.399370
15.2,3626,96.0,4243,31543,6928,5.8,71.5,26.8,38.8,38471,10.55766,8.353025,8.195886,4.564348,0.219637,10.359110
15.2,3394,86.9,4366,36621,7605,3.8,87.6,18.3,67.0,44226,10.69707,8.381602,8.129765,4.464758,0.207668,10.508380
15.2,8777,114.7,5710,39440,6260,5.1,77.9,43.9,44.5,45700,10.72985,8.649974,9.079890,4.742320,0.158722,10.582540
15.3,4350,97.5,4500,34474,7904,6.1,80.1,17.9,42.9,42378,10.65438,8.411833,8.377932,4.579853,0.229274,10.447960
15.3,2170,95.7,5895,45158,9354,2.0,94.3,19.0,30.1,54512,10.90618,8.681860,7.682482,4.561218,0.207139,10.717920
15.7,946,102.5,4122,29757,6229,1.1,94.3,30.6,49.2,35986,10.49088,8.324094,6.852242,4.629863,0.209329,10.300820
15.9,899,111.8,4239,28032,5670,1.5,86.1,18.9,49.2,33702,10.42531,8.352082,6.801283,4.716712,0.202269,10.241100
16.0,2363,102.1,3905,29280,5535,3.0,89.2,25.0,45.9,34815,10.45780,8.270013,7.767687,4.625953,0.189037,10.284660
16.0,2553,98.0,4752,34471,6622,6.9,90.8,12.6,49.5,41093,10.62359,8.466321,7.845025,4.584968,0.192104,10.447870
16.2,3480,92.7,3893,29898,7158,1.9,78.9,14.4,51.9,37056,10.52019,8.266935,8.154788,4.529368,0.239414,10.305550
16.3,1766,86.7,3901,33501,6882,12.5,58.3,18.3,46.8,40383,10.60616,8.268989,7.476472,4.462454,0.205427,10.419330
16.3,4192,104.3,4206,29238,6402,12.1,58.9,26.6,44.1,35640,10.48122,8.344267,8.340933,4.647271,0.218962,10.283220
16.4,412,99.5,3786,27973,5076,14.4,41.2,12.5,50.0,33049,10.40575,8.239065,6.021023,4.600158,0.181461,10.238990
16.4,1480,89.2,3788,32159,6038,4.6,83.2,33.3,57.4,38197,10.55051,8.239594,7.299798,4.490881,0.187755,10.378450
16.4,1068,96.3,4250,31114,6115,3.6,83.9,29.3,51.9,37229,10.52484,8.354674,6.973543,4.567468,0.196535,10.345410
16.5,1168,82.6,3688,33179,6134,2.6,89.8,23.5,61.3,39313,10.57931,8.212839,7.063048,4.414010,0.184876,10.409670
16.7,894,94.7,3848,30131,5482,3.4,96.7,17.6,41.3,35613,10.48047,8.255309,6.795706,4.550714,0.181939,10.313310
16.8,666,104.3,4336,30979,6065,11.9,63.5,2.4,61.5,37044,10.51986,8.374707,6.501290,4.647271,0.195778,10.341060
16.9,964,101.3,3799,27929,5061,1.2,94.2,29.2,39.9,32990,10.40396,8.242494,6.871091,4.618086,0.181209,10.237420
17.0,4035,90.1,4282,34134,8138,1.6,92.5,19.7,33.8,42272,10.65188,8.362176,8.302762,4.500920,0.238413,10.438050
17.2,1122,104.3,4664,29925,9769,3.8,88.2,23.0,51.0,39694,10.58895,8.447629,7.022868,4.647271,0.326450,10.306450
17.3,1623,99.5,3694,26891,5070,19.4,33.5,33.0,36.7,31961,10.37227,8.214465,7.392032,4.600158,0.188539,10.199550
17.3,1491,95.9,4147,32021,6415,5.3,89.3,23.7,45.0,38436,10.55675,8.330140,7.307202,4.563306,0.200337,10.374150
17.3,1765,118.4,5847,35802,7984,11.0,62.5,15.4,59.2,43786,10.68707,8.673684,7.475906,4.774069,0.223004,10.485760
17.5,2195,80.1,3659,32798,7244,1.1,95.5,32.7,45.8,40042,10.59768,8.204946,7.693937,4.383276,0.220867,10.398120
17.8,880,83.8,4258,36780,6879,0.9,95.8,25.0,59.0,43659,10.68417,8.356555,6.779922,4.428433,0.187031,10.512710
18.0,1655,96.7,3632,27905,5420,2.9,88.1,28.7,31.3,33325,10.41406,8.197538,7.411556,4.571613,0.194230,10.236560
18.0,3480,99.0,4278,29504,5524,2.5,86.4,11.0,51.1,35028,10.46390,8.361241,8.154788,4.595120,0.187229,10.292280
18.1,1327,105.3,5327,36803,8300,4.0,84.7,23.5,45.8,45103,10.71670,8.580544,7.190676,4.656814,0.225525,10.513330
18.3,1551,101.2,3933,28826,5462,3.5,86.9,26.8,61.1,34288,10.44255,8.277158,7.346655,4.617099,0.189482,10.269030
18.3,5344,104.1,4560,31908,6711,3.9,86.6,28.9,64.2,38619,10.56150,8.425077,8.583730,4.645352,0.210323,10.370610
18.4,1210,95.2,3730,28806,5903,3.9,85.2,15.9,40.0,34709,10.45475,8.224163,7.098376,4.555980,0.204923,10.268340
18.4,222,122.5,5365,32249,6275,11.3,61.0,53.8,39.6,38524,10.55904,8.587651,5.402678,4.808111,0.194580,10.381240
18.5,1165,104.7,4314,30871,3957,0.3,98.9,15.4,55.9,34828,10.45818,8.369621,7.060476,4.651099,0.128179,10.337570
18.5,1026,110.9,5394,34966,7329,4.1,84.7,39.7,53.3,42295,10.65242,8.593042,6.933423,4.708629,0.209604,10.462130
18.7,1601,92.4,4697,36350,8674,1.6,97.7,16.4,50.0,45024,10.71495,8.454679,7.378384,4.526127,0.238624,10.500950
18.7,594,123.0,5738,33763,6884,3.8,82.8,29.7,49.0,40647,10.61268,8.654866,6.386879,4.812184,0.203892,10.427120
18.9,2395,96.7,3725,28556,5473,2.8,88.5,23.4,59.3,34029,10.43497,8.222822,7.781138,4.571613,0.191659,10.259620
18.9,9044,83.3,4732,40030,7568,3.0,85.1,12.1,41.0,47598,10.77055,8.462103,9.109857,4.422449,0.189058,10.597380
19.0,1260,114.6,3571,22778,4368,5.0,85.2,10.8,65.0,27146,10.20899,8.180601,7.138867,4.741448,0.191764,10.033550
19.0,1242,109.5,3984,25676,5256,5.4,84.9,25.3,62.0,30932,10.33955,8.290042,7.124478,4.695925,0.204705,10.153310
19.0,5014,84.6,4054,33209,10417,0.8,96.7,34.7,71.1,43626,10.68341,8.307459,8.519989,4.437934,0.313680,10.410580
19.0,14570,142.0,6931,37133,6907,2.3,92.9,50.5,73.6,44040,10.69285,8.843760,9.586720,4.955827,0.186007,10.522260
19.1,7563,107.8,5106,34946,6732,3.3,86.6,42.7,48.0,41678,10.63773,8.538172,8.931024,4.680278,0.192640,10.461560
19.2,1564,95.3,3979,29347,6011,3.7,86.8,11.3,61.0,35358,10.47328,8.288786,7.355002,4.557030,0.204825,10.286950
19.2,10662,123.2,5031,32288,5174,6.1,76.0,21.7,46.0,37462,10.53108,8.523374,9.274442,4.813809,0.160245,10.382450
19.3,2295,90.9,4450,36097,4944,12.1,69.1,19.5,66.2,41041,10.62233,8.400660,7.738488,4.509760,0.136964,10.493970
19.4,3976,121.4,6180,39151,7532,3.6,86.4,50.2,46.3,46683,10.75114,8.729074,8.288032,4.799091,0.192383,10.575180
19.5,2832,86.4,3800,31593,6015,5.3,80.6,27.4,41.1,37608,10.53497,8.242756,7.948739,4.458988,0.190390,10.360690
19.6,2040,85.8,4288,34986,8664,2.9,89.6,23.0,42.9,43650,10.68396,8.363576,7.620705,4.452019,0.247642,10.462700
19.6,2865,114.7,5308,34461,6288,1.3,95.2,17.3,53.7,40749,10.61519,8.576970,7.960324,4.742320,0.182467,10.447580
19.7,2754,89.8,3667,29729,6132,4.3,83.5,27.6,56.4,35861,10.48741,8.207129,7.920810,4.497585,0.206263,10.299880
19.7,2602,81.7,4280,36881,7177,1.0,98.0,10.9,55.5,44058,10.69326,8.361709,7.864036,4.403054,0.194599,10.515450
19.8,2066,87.9,3866,31780,7243,0.5,98.8,42.5,53.8,39023,10.57191,8.259975,7.633369,4.476200,0.227911,10.366590
19.9,3044,95.9,4108,31778,6171,3.7,85.3,31.6,37.5,37949,10.54400,8.320691,8.020927,4.563306,0.194191,10.366530
20.0,2255,89.0,3799,31766,5646,4.3,84.4,23.9,60.7,37412,10.52975,8.242494,7.720905,4.488636,0.177737,10.366150
20.0,2580,96.7,4347,31204,6724,7.2,76.0,33.2,61.7,37928,10.54344,8.377241,7.855545,4.571613,0.215485,10.348300
20.1,2630,87.5,3782,32349,7467,1.3,95.1,25.3,61.0,39816,10.59202,8.238008,7.874739,4.471639,0.230826,10.384340
20.1,3461,95.1,3932,31773,6123,2.9,88.9,24.0,34.8,37896,10.54260,8.276903,8.149313,4.554929,0.192711,10.366370
20.1,2593,119.5,6947,42580,9196,2.1,90.2,22.6,50.6,51776,10.85468,8.846066,7.860571,4.783316,0.215970,10.659140
20.2,2428,85.6,3624,32489,6429,5.7,78.8,21.4,66.7,38918,10.56921,8.195333,7.794823,4.449685,0.197882,10.388660
20.2,740,115.9,4005,24887,5451,6.7,77.2,9.8,42.2,30338,10.32016,8.295299,6.606650,4.752728,0.219030,10.122100
20.3,1703,97.1,4012,29820,6696,1.0,96.3,37.5,42.6,36516,10.50551,8.297045,7.440146,4.575741,0.224547,10.302930
20.3,5046,104.8,4389,31147,5505,2.7,90.2,16.7,66.7,36652,10.50922,8.386857,8.526351,4.652054,0.176742,10.346470
20.4,1818,92.0,4078,32288,6592,5.1,82.3,21.7,40.8,38880,10.56824,8.313362,7.505492,4.521789,0.204162,10.382450
20.4,3830,96.1,4178,32138,7018,6.8,74.8,27.2,33.3,39156,10.57531,8.337588,8.250620,4.565389,0.218371,10.377790
20.4,1119,100.5,4382,30872,6449,9.7,69.3,10.4,51.2,37321,10.52731,8.385261,7.020191,4.610157,0.208895,10.337600
20.5,2102,99.4,4002,30472,5901,3.0,88.3,16.0,43.9,36373,10.50158,8.294550,7.650645,4.599152,0.193653,10.324560
20.6,1499,89.9,3703,30054,5845,2.3,90.6,22.0,55.8,35899,10.48846,8.216899,7.312553,4.498698,0.194483,10.310750
20.9,3016,94.5,3555,28426,5130,11.8,73.3,19.7,54.8,33556,10.42097,8.176110,8.011686,4.548600,0.180469,10.255060
20.9,4797,86.3,4533,39470,7502,5.6,81.1,21.8,51.6,46972,10.75731,8.419139,8.475746,4.457829,0.190068,10.583300
21.1,2840,95.9,3894,30825,4955,0.8,93.7,26.3,32.5,35780,10.48514,8.267192,7.951560,4.563306,0.160746,10.336080
21.3,7003,109.3,4196,29281,4932,2.9,89.9,14.8,39.5,34213,10.44036,8.341887,8.854094,4.694097,0.168437,10.284690
21.6,1750,91.5,3822,30753,5831,5.5,77.9,12.4,42.9,36584,10.50737,8.248529,7.467371,4.516339,0.189608,10.333740
21.6,3945,91.5,3872,31051,6155,7.6,71.5,28.4,43.3,37206,10.52423,8.261526,8.280204,4.516339,0.198222,10.343390
22.0,1712,91.5,3782,30477,6437,2.5,89.1,13.2,47.1,36914,10.51635,8.238008,7.445417,4.516339,0.211208,10.324730
22.0,1202,100.7,3989,28791,6499,7.0,94.1,25.0,68.8,35290,10.47135,8.291296,7.091742,4.612146,0.225730,10.267820
22.1,1305,93.6,3654,28684,4883,6.6,76.5,19.2,48.0,33567,10.42130,8.203578,7.173958,4.539031,0.170234,10.264090
22.1,2624,89.4,4248,34944,6456,5.0,82.3,20.6,46.5,41400,10.63104,8.354203,7.872455,4.493121,0.184753,10.461500
22.3,1438,86.2,3776,31243,5455,16.2,48.2,16.7,55.3,36698,10.51048,8.236421,7.271008,4.456670,0.174599,10.349550
22.3,4306,93.0,4188,32325,7471,0.5,96.7,27.1,53.8,39796,10.59152,8.339978,8.367764,4.532599,0.231121,10.383600
22.3,757,91.8,4552,34259,7339,1.5,93.3,42.3,40.1,41598,10.63581,8.423322,6.629363,4.519612,0.214221,10.441700
22.6,967,89.4,3616,28851,5279,26.9,77.0,36.8,52.5,34130,10.43793,8.193124,6.874198,4.493121,0.182975,10.269900
22.6,3959,95.1,4039,31903,7282,2.2,94.8,24.0,36.5,39185,10.57605,8.303752,8.283747,4.554929,0.228254,10.370460
22.7,943,99.0,4040,30668,6446,2.9,83.8,27.9,37.5,37114,10.52175,8.304000,6.849066,4.595120,0.210186,10.330970
22.9,1889,88.2,3425,28223,5183,6.3,96.4,26.1,53.3,33406,10.41649,8.138857,7.543803,4.479607,0.183644,10.247890
23.0,10761,107.0,4228,29637,6021,0.0,98.7,31.7,49.6,35658,10.48173,8.349484,9.283684,4.672829,0.203158,10.296780
23.1,1943,95.7,4214,30400,6867,8.2,70.8,18.8,36.4,37267,10.52586,8.346168,7.571989,4.561218,0.225888,10.322200
23.2,1055,86.1,3487,29107,6243,4.1,86.3,24.0,49.4,35350,10.47305,8.156797,6.961296,4.455509,0.214484,10.278730
23.4,913,92.7,3894,31477,5993,7.1,76.2,36.8,69.8,37470,10.53130,8.267192,6.816736,4.529368,0.190393,10.357010
23.6,602,104.0,3610,25688,4105,8.0,72.0,11.6,41.3,29793,10.30203,8.191463,6.400258,4.644391,0.159802,10.153780
