c1,ind,year,emp,wage,cap,indoutpt,n,w,k,ys,rec,yearm1,id,nL1,nL2,wL1,kL1,kL2,ysL1,ysL2,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984
34-1,7,1981,82.699997,19.8242,25.7959,98.527,4.4152198,2.9869034,3.2502155,4.5903306,34,1980,5,4.490881,4.5042443,2.9595506,3.3407183,3.2328379,4.6063924,4.6099935,0,0,0,0,0,1,0,0,0
35-1,7,1982,73.699997,19.3873,20.368099,99.508301,4.3000026,2.9646182,3.0139699,4.6002412,35,1981,5,4.4152198,4.490881,2.9869034,3.2502155,3.3407183,4.5903306,4.6063924,0,0,0,0,0,0,1,0,0
36-1,3,1976,.74800003,23.1889,.16940001,102.7724,-.29035226,3.1436737,-1.7754924,4.6325169,36,1982,6,,,,,,,,1,0,0,0,0,0,0,0,0
37-1,3,1977,.76599997,20.539301,.1618,107.027,-.26657313,3.0223401,-1.8213943,4.6730809,37,1976,6,-.29035226,,3.1436737,-1.7754924,,4.6325169,,0,1,0,0,0,0,0,0,0
38-1,3,1978,.76200002,20.9387,.1499,108.6788,-.27180868,3.041599,-1.8977869,4.6883969,38,1977,6,-.26657313,-.29035226,3.0223401,-1.8213943,-1.7754924,4.6730809,4.6325169,0,0,1,0,0,0,0,0,0
39-1,3,1979,.72899997,21.7626,.14579999,111.119,-.31608158,3.0801928,-1.9255195,4.7106018,39,1978,6,-.27180868,-.26657313,3.041599,-1.8977869,-1.8213943,4.6883969,4.6730809,0,0,0,1,0,0,0,0,0
40-1,3,1980,.73100001,23.470699,.1468,101.9265,-.3133418,3.1557529,-1.9186842,4.6242518,40,1979,6,-.31608158,-.27180868,3.0801928,-1.9255195,-1.8977869,4.7106018,4.6883969,0,0,0,0,1,0,0,0,0
41-1,3,1981,.77899998,24.1252,.14120001,99.497101,-.24974425,3.1832569,-1.9575779,4.6001287,41,1980,6,-.3133418,-.31608158,3.1557529,-1.9186842,-1.9255195,4.6242518,4.7106018,0,0,0,0,0,1,0,0,0
42-1,3,1982,.78200001,25.206499,.1261,99.310303,-.24590053,3.2271018,-2.0706799,4.5982494,42,1981,6,-.24974425,-.3133418,3.1832569,-1.9575779,-1.9186842,4.6001287,4.6242518,0,0,0,0,0,0,1,0,0
43-1,3,1976,1.6,30.851299,.99339998,104.7664,.47000363,3.429179,-.0066218986,4.6517329,43,1982,7,,,,,,,,1,0,0,0,0,0,0,0,0
44-1,3,1977,1.65,28.555,.93300003,107.4791,.50077528,3.3518322,-.069350049,4.6772966,44,1976,7,.47000363,,3.429179,-.0066218986,,4.6517329,,0,1,0,0,0,0,0,0,0
45-1,3,1978,1.6799999,29.860201,.96499997,108.9188,.51879376,3.3965266,-.035627205,4.6906028,45,1977,7,.50077528,.47000363,3.3518322,-.069350049,-.0066218986,4.6772966,4.6517329,0,0,1,0,0,0,0,0,0
46-1,3,1979,1.6799999,30.589399,.96289998,111.5591,.51879376,3.4206536,-.037805732,4.7145543,46,1978,7,.51879376,.50077528,3.3965266,-.035627205,-.069350049,4.6906028,4.6772966,0,0,0,1,0,0,0,0,0
47-1,3,1980,1.66,27.4886,.9224,100,.50681758,3.3137712,-.080776311,4.6051702,47,1979,7,.51879376,.51879376,3.4206536,-.037805732,-.035627205,4.7145543,4.6906028,0,0,0,0,1,0,0,0,0
48-1,3,1981,1.5599999,31.486799,.99919999,99.3965,.44468579,3.4495683,-.00080033374,4.5991168,48,1980,7,.50681758,.51879376,3.3137712,-.080776311,-.037805732,4.6051702,4.7145543,0,0,0,0,0,1,0,0,0
49-1,3,1982,1.54,32.0728,.88020003,99.293098,.43178239,3.4680083,-.12760609,4.5980759,49,1981,7,.44468579,.50681758,3.4495683,-.00080033374,-.080776311,4.5991168,4.6051702,0,0,0,0,0,0,1,0,0
50-1,3,1976,9.1450005,30.908899,4.5486002,104.7664,2.2132072,3.4310441,1.5148195,4.6517329,50,1982,8,,,,,,,,1,0,0,0,0,0,0,0,0
51-1,3,1977,10.855,24.467899,4.6194,107.4791,2.3846257,3.1973619,1.5302649,4.6772966,51,1976,8,2.2132072,,3.4310441,1.5148195,,4.6517329,,0,1,0,0,0,0,0,0,0
52-1,3,1978,10.749,28.055799,5.0373001,108.9188,2.3748126,3.3341954,1.6168703,4.6906028,52,1977,8,2.3846257,2.2132072,3.1973619,1.5302649,1.5148195,4.6772966,4.6517329,0,0,1,0,0,0,0,0,0
53-1,3,1979,10.959,28.744499,4.8748002,111.5591,2.394161,3.3584464,1.5840791,4.7145543,53,1978,8,2.3748126,2.3846257,3.3341954,1.6168703,1.5302649,4.6906028,4.6772966,0,0,0,1,0,0,0,0,0
54-1,3,1980,10.698,28.485399,3.2221,100,2.3700569,3.3493917,1.1700333,4.6051702,54,1979,8,2.394161,2.3748126,3.3584464,1.5840791,1.6168703,4.7145543,4.6906028,0,0,0,0,1,0,0,0,0
55-1,3,1981,8.1739998,31.7356,2.8343,99.3965,2.1009583,3.4574389,1.041795,4.5991168,55,1980,8,2.3700569,2.394161,3.3493917,1.1700333,1.5840791,4.6051702,4.7145543,0,0,0,0,0,1,0,0,0
56-1,3,1982,4.7010002,29.896299,1.7506,99.293098,1.5477753,3.3977346,.55995858,4.5980759,56,1981,8,2.1009583,2.3700569,3.4574389,1.041795,1.1700333,4.5991168,4.6051702,0,0,0,0,0,0,1,0,0
57-1,3,1976,2.006,26.0825,.38240001,102.7724,.69614273,3.2612646,-.96128809,4.6325169,57,1982,9,,,,,,,,1,0,0,0,0,0,0,0,0
58-1,3,1977,2.6559999,21.9545,.4551,107.027,.97682118,3.0889721,-.78723812,4.6730809,58,1976,9,.69614273,,3.2612646,-.96128809,,4.6325169,,0,1,0,0,0,0,0,0,0
59-1,3,1978,2.7119999,22.809999,.45289999,108.6788,.99768633,3.1271989,-.79208392,4.6883969,59,1977,9,.97682118,.69614273,3.0889721,-.78723812,-.96128809,4.6730809,4.6325169,0,0,1,0,0,0,0,0,0
60-1,3,1979,2.744,23.372,.4524,111.119,1.0094167,3.1515386,-.79318851,4.7106018,60,1978,9,.99768633,.97682118,3.1271989,-.79208392,-.78723812,4.6883969,4.6730809,0,0,0,1,0,0,0,0,0
61-1,3,1980,2.757,23.0737,.46759999,101.9265,1.0141431,3.1386933,-.76014209,4.6242518,61,1979,9,1.0094167,.99768633,3.1515386,-.79318851,-.79208392,4.7106018,4.6883969,0,0,0,0,1,0,0,0,0
62-1,3,1981,2.849,24.304399,.48100001,99.497101,1.0469681,3.1906574,-.731888,4.6001287,62,1980,9,1.0141431,1.0094167,3.1386933,-.76014209,-.79318851,4.6242518,4.7106018,0,0,0,0,0,1,0,0,0
63-1,3,1982,2.7520001,26.898399,.47530001,99.310303,1.0123279,3.2920668,-.74380904,4.5982494,63,1981,9,1.0469681,1.0141431,3.1906574,-.731888,-.76014209,4.6001287,4.6242518,0,0,0,0,0,0,1,0,0
64-1,7,1976,3.823,23.3533,1.1293,95.3657,1.3410355,3.1507382,.12159797,4.5577188,64,1982,10,,,,,,,,1,0,0,0,0,0,0,0,0
65-1,7,1977,3.9349999,21.3251,1.0143,96.731499,1.3699108,3.0598848,.014198708,4.571939,65,1976,10,1.3410355,,3.1507382,.12159797,,4.5577188,,0,1,0,0,0,0,0,0,0
66-1,7,1978,3.5280001,20.9319,1.1169,99.233299,1.2607312,3.0412743,.11055696,4.5974736,66,1977,10,1.3699108,1.3410355,3.0598848,.014198708,.12159797,4.571939,4.5577188,0,0,1,0,0,0,0,0,0
67-1,7,1979,3.52,20.4536,1.1626,100.7335,1.258461,3.0181589,.15065891,4.6124783,67,1978,10,1.2607312,1.3699108,3.0412743,.11055696,.014198708,4.5974736,4.571939,0,0,0,1,0,0,0,0,0
68-1,7,1980,3.467,23.4946,1.0827,100,1.2432897,3.1567707,.079457931,4.6051702,68,1979,10,1.258461,1.2607312,3.0181589,.15065891,.11055696,4.6124783,4.5974736,0,0,0,0,1,0,0,0,0
69-1,7,1981,3.0899999,25.955299,1.0635999,98.232399,1.1281711,3.2563758,.061659329,4.5873361,69,1980,10,1.2432897,1.258461,3.1567707,.079457931,.15065891,4.6051702,4.6124783,0,0,0,0,0,1,0,0,0
70-1,7,1982,3.2620001,26.0361,1.0958,99.763496,1.1823405,3.2594841,.091484725,4.6028023,70,1981,10,1.1281711,1.2432897,3.2563758,.061659329,.079457931,4.5873361,4.6051702,0,0,0,0,0,0,1,0,0
71-1,3,1976,1.359,23.061399,.40990001,104.7664,.30674911,3.1381602,-.89184201,4.6517329,71,1982,11,,,,,,,,1,0,0,0,0,0,0,0,0
72-1,3,1977,1.346,20.227501,.57410002,107.4791,.2971372,3.0070431,-.55495167,4.6772966,72,1976,11,.30674911,,3.1381602,-.89184201,,4.6517329,,0,1,0,0,0,0,0,0,0
73-1,3,1978,1.3380001,22.143499,.55629998,108.9188,.29117599,3.097544,-.5864476,4.6906028,73,1977,11,.2971372,.30674911,3.0070431,-.55495167,-.89184201,4.6772966,4.6517329,0,0,1,0,0,0,0,0,0
74-1,3,1979,1.353,22.549601,.51450002,111.5591,.30232438,3.1157174,-.66455966,4.7145543,74,1978,11,.29117599,.2971372,3.097544,-.5864476,-.55495167,4.6906028,4.6772966,0,0,0,1,0,0,0,0,0
75-1,3,1980,1.2640001,22.5875,.58950001,100,.23428135,3.1173966,-.52848053,4.6051702,75,1979,11,.30232438,.29117599,3.1157174,-.66455966,-.5864476,4.7145543,4.6906028,0,0,0,0,1,0,0,0,0
76-1,3,1981,1.158,25.9585,.48469999,99.3965,.14669438,3.2564991,-.72422516,4.5991168,76,1980,11,.23428135,.30232438,3.1173966,-.52848053,-.66455966,4.6051702,4.7145543,0,0,0,0,0,1,0,0,0
77-1,3,1982,1.175,24.0345,.4359,99.293098,.1612681,3.1794903,-.83034241,4.5980759,77,1981,11,.14669438,.23428135,3.2564991,-.72422516,-.52848053,4.5991168,4.6051702,0,0,0,0,0,0,1,0,0
78-1,3,1976,1.78,34.299099,.25690001,104.7664,.57661337,3.5351191,-1.3590683,4.6517329,78,1982,12,,,,,,,,1,0,0,0,0,0,0,0,0
79-1,3,1977,1.643,30.3979,.20720001,107.4791,.49652386,3.4143734,-1.5740707,4.6772966,79,1976,12,.57661337,,3.5351191,-1.3590683,,4.6517329,,0,1,0,0,0,0,0,0,0
80-1,3,1978,1.39,31.143101,.1999,108.9188,.32930374,3.4385927,-1.609938,4.6906028,80,1977,12,.49652386,.57661337,3.4143734,-1.5740707,-1.3590683,4.6772966,4.6517329,0,0,1,0,0,0,0,0,0
81-1,3,1979,1.35,33.310501,.2007,111.5591,.30010462,3.5058727,-1.605944,4.7145543,81,1978,12,.32930374,.49652386,3.4385927,-1.609938,-1.5740707,4.6906028,4.6772966,0,0,0,1,0,0,0,0,0
82-1,3,1980,1.082,30.214701,.1473,100,.078811198,3.4083285,-1.9152839,4.6051702,82,1979,12,.30010462,.32930374,3.5058727,-1.605944,-1.609938,4.7145543,4.6906028,0,0,0,0,1,0,0,0,0
83-1,3,1981,.77999997,29.7414,.1158,99.3965,-.2484614,3.39254,-2.1558907,4.5991168,83,1980,12,.078811198,.30010462,3.4083285,-1.9152839,-1.605944,4.6051702,4.7145543,0,0,0,0,0,1,0,0,0
84-1,3,1982,.68000001,31.123501,.1036,99.293098,-.38566247,3.4379632,-2.2672179,4.5980759,84,1981,12,-.2484614,.078811198,3.39254,-2.1558907,-1.9152839,4.5991168,4.6051702,0,0,0,0,0,0,1,0,0
85-1,1,1976,2.3529999,22.383301,.57849997,125.8064,.85569108,3.1083152,-.54731679,4.834744,85,1982,13,,,,,,,,1,0,0,0,0,0,0,0,0
86-1,1,1977,2.3859999,23.060699,.56129998,127.9649,.8696183,3.1381299,-.57749981,4.8517561,86,1976,13,.85569108,,3.1083152,-.54731679,,4.834744,,0,1,0,0,0,0,0,0,0
87-1,1,1978,2.375,23.493099,.5273,125.4294,.86499745,3.1567068,-.63998562,4.8317432,87,1977,13,.8696183,.85569108,3.1381299,-.57749981,-.54731679,4.8517561,4.834744,0,0,1,0,0,0,0,0,0
88-1,1,1979,2.415,26.0042,.51800001,125.0259,.88169926,3.2582581,-.65778005,4.8285208,88,1978,13,.86499745,.8696183,3.1567068,-.63998562,-.57749981,4.8317432,4.8517561,0,0,0,1,0,0,0,0,0
89-1,1,1980,2.266,24.167101,.46079999,106.3044,.81801617,3.1849923,-.77479118,4.6663065,89,1979,13,.88169926,.86499745,3.2582581,-.65778005,-.63998562,4.8285208,4.8317432,0,0,0,0,1,0,0,0,0
90-1,1,1981,1.777,26.057301,.375,98.072899,.5749265,3.260298,-.98082924,4.585711,90,1980,13,.81801617,.88169926,3.1849923,-.77479118,-.65778005,4.6663065,4.8285208,0,0,0,0,0,1,0,0,0
91-1,1,1982,1.5369999,28.7064,.31470001,96.867401,.42983243,3.35712,-1.1561354,4.5733433,91,1981,13,.5749265,.81801617,3.260298,-.98082924,-.77479118,4.585711,4.6663065,0,0,0,0,0,0,1,0,0
92-1,1,1978,3.165,20.911301,.39019999,127.3866,1.152153,3.0402896,-.94109589,4.8472266,92,1982,14,,,,,,,,0,0,1,0,0,0,0,0,0
93-1,1,1979,3.096,21.8887,.43110001,124.6424,1.130111,3.0859706,-.84141517,4.825449,93,1978,14,1.152153,,3.0402896,-.94109589,,4.8472266,,0,0,0,1,0,0,0,0,0
94-1,1,1980,2.9909999,23.701,.4228,118.9132,1.0956078,3.1655173,-.860856,4.7783937,94,1979,14,1.130111,1.152153,3.0859706,-.84141517,-.94109589,4.825449,4.8472266,0,0,0,0,1,0,0,0,0
95-1,1,1981,2.6919999,21.3925,.38100001,99.357597,.99028438,3.0630405,-.96495587,4.5987253,95,1980,14,1.0956078,1.130111,3.1655173,-.860856,-.84141517,4.7783937,4.825449,0,0,0,0,0,1,0,0,0
96-1,1,1982,2.175,25.523701,.30509999,97.242798,.77702862,3.2396076,-1.1871157,4.5772109,96,1981,14,.99028438,1.0956078,3.0630405,-.96495587,-.860856,4.5987253,4.7783937,0,0,0,0,0,0,1,0,0
97-1,1,1983,1.801,25.7211,.2041,97.194397,.58834207,3.2473116,-1.5891452,4.5767131,97,1982,14,.77702862,.99028438,3.2396076,-1.1871157,-.96495587,4.5772109,4.5987253,0,0,0,0,0,0,0,1,0
98-1,1,1984,1.428,25.645201,.16850001,99.986198,.35627484,3.2443564,-1.7808195,4.605032,98,1983,14,.58834207,.77702862,3.2473116,-1.5891452,-1.1871157,4.5767131,4.5772109,0,0,0,0,0,0,0,0,1
99-1,9,1977,7.2199998,22.5898,1.8498,105.3355,1.9768549,3.1174984,.6150775,4.6571507,99,1984,15,,,,,,,,0,1,0,0,0,0,0,0,0
100-1,9,1978,7.3210001,22.054899,1.9215,108.1833,1.990747,3.0935347,.65310609,4.6838269,100,1977,15,1.9768549,,3.1174984,.6150775,,4.6571507,,0,0,1,0,0,0,0,0,0
101-1,9,1979,7.0970001,22.290199,2.1854999,110.6984,1.9596722,3.1041472,.78184462,4.7068095,101,1978,15,1.990747,1.9768549,3.0935347,.65310609,.6150775,4.6838269,4.6571507,0,0,0,1,0,0,0,0,0
102-1,9,1980,7.2010002,20.680799,2.4345,105.9673,1.9742199,3.0292058,.88974136,4.6631308,102,1979,15,1.9596722,1.990747,3.1041472,.78184462,.65310609,4.7068095,4.6838269,0,0,0,0,1,0,0,0,0
103-1,9,1981,6.6020002,21.615101,2.1255,96.593102,1.8873726,3.0733922,.75400704,4.5705075,103,1980,15,1.9742199,1.9596722,3.0292058,.88974136,.78184462,4.6631308,4.7068095,0,0,0,0,0,1,0,0,0
104-1,9,1982,5.3109999,23.1551,1.5594,92.001297,1.6697801,3.142215,.4443011,4.5218029,104,1981,15,1.8873726,1.9742199,3.0733922,.75400704,.88974136,4.5705075,4.6631308,0,0,0,0,0,0,1,0,0
105-1,9,1983,5.3940001,25.099899,1.3576,92.248802,1.6852872,3.2228639,.30571842,4.5244894,105,1982,15,1.6697801,1.8873726,3.142215,.4443011,.75400704,4.5218029,4.5705075,0,0,0,0,0,0,0,1,0
106-1,4,1976,2.757,29.3517,.91750002,116.4,1.0141431,3.3793504,-.086102679,4.7570324,106,1983,16,,,,,,,,1,0,0,0,0,0,0,0,0
107-1,4,1977,2.632,27.0686,.86129999,115.7,.96774399,3.2983744,-.14931241,4.7510004,107,1976,16,1.0141431,,3.3793504,-.086102679,,4.7570324,,0,1,0,0,0,0,0,0,0
108-1,4,1978,2.6470001,27.2752,.85189998,112.8,.97342694,3.3059778,-.16028616,4.7256165,108,1977,16,.96774399,1.0141431,3.2983744,-.14931241,-.086102679,4.7510004,4.7570324,0,0,1,0,0,0,0,0,0
109-1,4,1979,2.687,26.6444,.52770001,108.9,.98842531,3.2825789,-.63922733,4.6904302,109,1978,16,.97342694,.96774399,3.3059778,-.16028616,-.14931241,4.7256165,4.7510004,0,0,0,1,0,0,0,0,0
110-1,4,1980,2.4170001,25.3591,.5262,100,.88252711,3.2331376,-.64207393,4.6051702,110,1979,16,.98842531,.97342694,3.2825789,-.63922733,-.16028616,4.6904302,4.7256165,0,0,0,0,1,0,0,0,0
111-1,4,1981,2.2179999,25.2731,.56599998,89.199997,.79660589,3.2297406,-.56916124,4.490881,111,1980,16,.88252711,.98842531,3.2331376,-.64207393,-.63922733,4.6051702,4.6904302,0,0,0,0,0,1,0,0,0
112-1,4,1982,2.1059999,27.444599,.51120001,90.5,.74479038,3.3121693,-.67099434,4.5053496,112,1981,16,.79660589,.88252711,3.2297406,-.56916124,-.64207393,4.490881,4.6051702,0,0,0,0,0,0,1,0,0
113-1,1,1977,1.09,23.9352,.12819999,127.164,.086177729,3.1753502,-2.0541637,4.8454776,113,1982,17,,,,,,,,0,1,0,0,0,0,0,0,0
114-1,1,1978,1.1440001,22.613899,.1393,127.3866,.13453095,3.1185648,-1.9711254,4.8472266,114,1977,17,.086177729,,3.1753502,-2.0541637,,4.8454776,,0,0,1,0,0,0,0,0,0
115-1,1,1979,1.1950001,23.080099,.1795,124.6424,.17814623,3.1389709,-1.7175801,4.825449,115,1978,17,.13453095,.086177729,3.1185648,-1.9711254,-2.0541637,4.8472266,4.8454776,0,0,0,1,0,0,0,0,0
116-1,1,1980,1.2589999,25.034599,.18350001,118.9132,.23031771,3.220259,-1.6955405,4.7783937,116,1979,17,.17814623,.13453095,3.1389709,-1.7175801,-1.9711254,4.825449,4.8472266,0,0,0,0,1,0,0,0,0
117-1,1,1981,1.319,24.258699,.17309999,99.357597,.27687389,3.1887753,-1.7538859,4.5987253,117,1980,17,.23031771,.17814623,3.220259,-1.6955405,-1.7175801,4.7783937,4.825449,0,0,0,0,0,1,0,0,0
118-1,1,1982,1.188,28.4659,.1471,97.242798,.17227119,3.348707,-1.9166427,4.5772109,118,1981,17,.27687389,.23031771,3.1887753,-1.7538859,-1.6955405,4.5987253,4.7783937,0,0,0,0,0,0,1,0,0
119-1,1,1983,1.163,29.4594,.1246,97.194397,.15100287,3.383013,-2.0826466,4.5767131,119,1982,17,.17227119,.27687389,3.348707,-1.9166427,-1.7538859,4.5772109,4.5987253,0,0,0,0,0,0,0,1,0
120-1,4,1977,7.4070001,29.968901,1.1694,116.225,2.0024254,3.4001603,.15649077,4.755528,120,1983,18,,,,,,,,0,1,0,0,0,0,0,0,0
121-1,4,1978,7.3920002,26.261101,1.2643,114.975,2.0003984,3.2680888,.2345186,4.7447147,121,1977,18,2.0024254,,3.4001603,.15649077,,4.755528,,0,0,1,0,0,0,0,0,0
122-1,4,1979,7.198,25.7528,1.3536,111.825,1.9738032,3.2485433,.30276772,4.7169352,122,1978,18,2.0003984,2.0024254,3.2680888,.2345186,.15649077,4.7447147,4.755528,0,0,0,1,0,0,0,0,0
123-1,4,1980,6.8720002,24.319799,1.5671999,106.675,1.9274552,3.1912909,.44929054,4.6697869,123,1979,18,1.9738032,2.0003984,3.2485433,.30276772,.2345186,4.7169352,4.7447147,0,0,0,0,1,0,0,0,0
124-1,4,1981,6.131,24.3181,1.3429,97.300003,1.8133578,3.191221,.29483148,4.5777988,124,1980,18,1.9274552,1.9738032,3.1912909,.44929054,.30276772,4.6697869,4.7169352,0,0,0,0,0,1,0,0,0
