obs,chnimp,bchlimp,befile6,affile6,afdec6,befile12,affile12,afdec12,chempi,gas,rtwex,spr,sum,fall,time,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,percchn
1981M08,400.5400,14210.780,0,0,0,0,0,0,119.5,8670000000,110.35,0,1,0,43,0,0,0,0,0,0,1,0,0,0,0,2.818564
1981M09,876.8340,15190.780,0,0,0,0,0,0,117.9,8320000000,106.16,0,0,1,44,0,0,0,0,0,0,0,1,0,0,0,5.772146
1981M10,535.9930,14593.670,0,0,0,0,0,0,113.8,8440000000,103.99,0,0,1,45,0,0,0,0,0,0,0,0,1,0,0,3.672777
1981M11,815.9555,14044.220,0,0,0,0,0,0,111.5,8340000000,101.81,0,0,1,46,0,0,0,0,0,0,0,0,0,1,0,5.809903
1981M12,771.8130,10431.430,0,0,0,0,0,0,107.9,8650000000,102.38,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,7.398919
1982M01,352.8730,13228.840,0,0,0,0,0,0,107.2,8080000000,103.62,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,2.667452
1982M02,431.9340,12801.710,0,0,0,0,0,0,109.7,6990000000,106.68,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,3.374033
1982M03,1211.4520,16403.340,0,0,0,0,0,0,109.2,7860000000,107.97,1,0,0,50,0,1,0,0,0,0,0,0,0,0,0,7.385398
1982M04,575.9175,13591.700,0,0,0,0,0,0,108.2,7720000000,109.05,1,0,0,51,0,0,1,0,0,0,0,0,0,0,0,4.237273
1982M05,1491.6220,16239.280,0,0,0,0,0,0,105.5,8270000000,106.35,1,0,0,52,0,0,0,1,0,0,0,0,0,0,0,9.185271
1982M06,380.2920,20010.460,0,0,0,0,0,0,105.3,8560000000,112.72,0,1,0,53,0,0,0,0,1,0,0,0,0,0,0,1.900466
1982M07,391.5965,16873.130,0,0,0,0,0,0,105.8,8880000000,114.80,0,1,0,54,0,0,0,0,0,1,0,0,0,0,0,2.320829
1982M08,505.5120,15379.570,0,0,0,0,0,0,106.6,8440000000,115.27,0,1,0,55,0,0,0,0,0,0,1,0,0,0,0,3.286906
1982M09,341.0220,10551.650,0,0,0,0,0,0,107.0,8270000000,115.99,0,0,1,56,0,0,0,0,0,0,0,1,0,0,0,3.231930
1982M10,372.5765,20755.380,0,0,0,1,0,0,105.8,8180000000,117.74,0,0,1,57,0,0,0,0,0,0,0,0,1,0,0,1.795084
1982M11,483.3590,18066.200,0,0,0,1,0,0,105.1,7940000000,118.18,0,0,1,58,0,0,0,0,0,0,0,0,0,1,0,2.675488
1982M12,224.0470,17886.760,0,0,0,1,0,0,106.8,8540000000,112.71,0,0,0,59,0,0,0,0,0,0,0,0,0,0,1,1.252586
1983M01,532.3940,19134.020,0,0,0,1,0,0,107.7,7870000000,110.89,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2.782447
1983M02,239.1405,17455.140,0,0,0,1,0,0,110.3,7000000000,112.52,0,0,0,61,1,0,0,0,0,0,0,0,0,0,0,1.370029
1983M03,689.4535,18215.720,0,0,0,1,0,0,112.1,7800000000,112.97,1,0,0,62,0,1,0,0,0,0,0,0,0,0,0,3.784937
1983M04,318.0120,20764.830,1,0,0,1,0,0,113.6,7840000000,114.12,1,0,0,63,0,0,1,0,0,0,0,0,0,0,0,1.531493
1983M05,1048.0360,28414.790,1,0,0,1,0,0,115.0,8350000000,114.46,1,0,0,64,0,0,0,1,0,0,0,0,0,0,0,3.688347
1983M06,945.7295,18819.390,1,0,0,1,0,0,117.0,8420000000,117.35,0,1,0,65,0,0,0,0,1,0,0,0,0,0,0,5.025293
1983M07,295.3720,11737.220,1,0,0,1,0,0,119.0,8780000000,118.63,0,1,0,66,0,0,0,0,0,1,0,0,0,0,0,2.516541
1983M08,319.4580,12520.280,1,0,0,1,0,0,120.0,8560000000,121.49,0,1,0,67,0,0,0,0,0,0,1,0,0,0,0,2.551524
1983M09,855.1370,16988.230,1,0,0,1,0,0,122.1,8340000000,121.35,0,0,1,68,0,0,0,0,0,0,0,1,0,0,0,5.033703
1983M10,671.8070,15835.780,0,0,0,0,0,0,124.5,8100000000,118.99,0,0,1,69,0,0,0,0,0,0,0,0,1,0,0,4.242336
1983M11,657.9315,17282.950,0,1,0,0,1,0,123.0,8390000000,121.41,0,0,1,70,0,0,0,0,0,0,0,0,0,1,0,3.806824
1983M12,847.9595,26960.510,0,1,0,0,1,0,121.1,8240000000,123.72,0,0,0,71,0,0,0,0,0,0,0,0,0,0,1,3.145191
1984M01,849.8735,25137.690,0,1,0,0,1,0,120.7,7880000000,125.86,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,3.380873
1984M02,852.9305,19807.490,0,1,0,0,1,0,122.5,7740000000,122.65,0,0,0,73,1,0,0,0,0,0,0,0,0,0,0,4.306101
1984M03,435.8370,32134.600,0,1,0,0,1,0,122.6,8320000000,119.03,1,0,0,74,0,1,0,0,0,0,0,0,0,0,0,1.356286
1984M04,204.7075,22954.550,0,1,0,0,1,0,124.4,8260000000,120.83,1,0,0,75,0,0,1,0,0,0,0,0,0,0,0,0.891795
1984M05,241.5675,24438.790,0,0,0,0,1,0,124.2,8700000000,124.50,1,0,0,76,0,0,0,1,0,0,0,0,0,0,0,0.988459
1984M06,244.1380,19057.440,0,0,0,0,1,0,125.9,8380000000,125.01,0,1,0,77,0,0,0,0,1,0,0,0,0,0,0,1.281064
1984M07,656.4015,26784.340,0,0,0,0,1,0,126.4,8480000000,129.89,0,1,0,78,0,0,0,0,0,1,0,0,0,0,0,2.450691
1984M08,588.0975,37244.380,0,0,0,0,1,0,126.2,8430000000,131.04,0,1,0,79,0,0,0,0,0,0,1,0,0,0,0,1.579023
1984M09,1128.4440,28129.360,0,0,0,0,1,0,125.8,8270000000,136.21,0,0,1,80,0,0,0,0,0,0,0,1,0,0,0,4.011623
1984M10,1328.9670,37253.470,0,0,0,0,1,0,124.3,8360000000,137.50,0,0,1,81,0,0,0,0,0,0,0,0,1,0,0,3.567364
1984M11,227.0635,18289.360,0,0,1,0,0,1,125.5,8480000000,134.71,0,0,1,82,0,0,0,0,0,0,0,0,0,1,0,1.241506
1984M12,583.2610,14795.910,0,0,1,0,0,1,124.9,8600000000,138.48,0,0,0,83,0,0,0,0,0,0,0,0,0,0,1,3.942042
1985M01,499.8935,25700.260,0,0,1,0,0,1,125.7,7700000000,141.30,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,1.945091
1985M02,165.3460,25240.310,0,0,1,0,0,1,125.8,6960000000,146.45,0,0,0,85,1,0,0,0,0,0,0,0,0,0,0,0.655087
1985M03,1057.9720,24854.940,0,0,1,0,0,1,126.5,7900000000,145.85,1,0,0,86,0,1,0,0,0,0,0,0,0,0,0,4.256587
1985M04,465.8225,24119.290,0,0,1,0,0,1,125.8,8000000000,137.72,1,0,0,87,0,0,1,0,0,0,0,0,0,0,0,1.931328
1985M05,349.4040,27244.980,0,0,0,0,0,1,126.7,8540000000,138.20,1,0,0,88,0,0,0,1,0,0,0,0,0,0,0,1.282453
1985M06,466.8240,30912.420,0,0,0,0,0,1,126.4,8560000000,136.33,0,1,0,89,0,0,0,0,1,0,0,0,0,0,0,1.510150
1985M07,717.0470,23173.530,0,0,0,0,0,1,126.4,8860000000,130.14,0,1,0,90,0,0,0,0,0,1,0,0,0,0,0,3.094250
1985M08,826.7580,29031.440,0,0,0,0,0,1,128.2,8910000000,127.31,0,1,0,91,0,0,0,0,0,0,1,0,0,0,0,2.847802
1985M09,1571.7360,19400.510,0,0,0,0,0,1,129.0,7990000000,128.87,0,0,1,92,0,0,0,0,0,0,0,1,0,0,0,8.101519
1985M10,542.9925,29887.710,0,0,0,0,0,1,127.9,8300000000,121.05,0,0,1,93,0,0,0,0,0,0,0,0,1,0,0,1.816775
1985M11,670.7935,20670.630,0,0,0,0,0,0,128.0,8190000000,118.75,0,0,1,94,0,0,0,0,0,0,0,0,0,1,0,3.245153
1985M12,430.2755,34375.250,0,0,0,0,0,0,128.3,8690000000,116.77,0,0,0,95,0,0,0,0,0,0,0,0,0,0,1,1.251701
1986M01,524.8625,19555.820,0,0,0,0,0,0,131.7,8520000000,114.76,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,2.683920
1986M02,317.7500,27362.230,0,0,0,0,0,0,132.0,7440000000,109.82,0,0,0,97,1,0,0,0,0,0,0,0,0,0,0,1.161272
1986M03,442.8195,31952.500,0,0,0,0,0,0,130.2,7920000000,106.77,1,0,0,98,0,1,0,0,0,0,0,0,0,0,0,1.385868
1986M04,322.6325,19578.160,0,0,0,0,0,0,132.8,8220000000,105.93,1,0,0,99,0,0,1,0,0,0,0,0,0,0,0,1.647920
1986M05,742.0795,26605.790,0,0,0,0,0,0,131.5,9280000000,103.87,1,0,0,100,0,0,0,1,0,0,0,0,0,0,0,2.789166
1986M06,665.3660,20034.420,0,0,0,0,0,0,134.2,8990000000,104.91,0,1,0,101,0,0,0,0,1,0,0,0,0,0,0,3.321115
1986M07,737.2670,33408.490,0,0,0,0,0,0,134.1,9130000000,101.91,0,1,0,102,0,0,0,0,0,1,0,0,0,0,0,2.206825
1986M08,1065.2110,20967.310,0,0,0,0,0,0,134.4,9310000000,99.42,0,1,0,103,0,0,0,0,0,0,1,0,0,0,0,5.080342
1986M09,547.3285,26526.840,0,0,0,0,0,0,133.9,8750000000,99.21,0,0,1,104,0,0,0,0,0,0,0,1,0,0,0,2.063301
1986M10,1258.4070,28304.020,0,0,0,0,0,0,133.9,8690000000,98.64,0,0,1,105,0,0,0,0,0,0,0,0,1,0,0,4.446036
1986M11,976.5165,17168.150,0,0,0,0,0,0,132.3,8700000000,99.83,0,0,1,106,0,0,0,0,0,0,0,0,0,1,0,5.687954
1986M12,1192.6840,12874.300,0,0,0,0,0,0,134.2,9070000000,98.56,0,0,0,107,0,0,0,0,0,0,0,0,0,0,1,9.264069
1987M01,1047.2390,16153.360,0,0,0,0,0,0,136.4,8750000000,93.85,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,6.483103
1987M02,944.7875,15638.680,0,0,0,0,0,0,135.7,7520000000,92.46,0,0,0,109,1,0,0,0,0,0,0,0,0,0,0,6.041351
1987M03,840.0295,18391.830,0,0,0,0,0,0,135.3,8580000000,92.25,1,0,0,110,0,1,0,0,0,0,0,0,0,0,0,4.567406
1987M04,578.9175,18786.790,0,0,0,0,0,0,137.3,8670000000,90.51,1,0,0,111,0,0,1,0,0,0,0,0,0,0,0,3.081514
1987M05,828.1195,17661.710,0,0,0,0,0,0,138.1,8920000000,89.74,1,0,0,112,0,0,0,1,0,0,0,0,0,0,0,4.688784
1987M06,1010.0570,17623.770,0,0,0,0,0,0,139.3,8990000000,91.58,0,1,0,113,0,0,0,0,1,0,0,0,0,0,0,5.731220
1987M07,1546.4830,18482.400,0,0,0,0,0,0,140.8,9200000000,93.19,0,1,0,114,0,0,0,0,0,1,0,0,0,0,0,8.367328
1987M08,1160.1580,21132.420,0,0,0,0,0,0,142.3,9070000000,93.60,0,1,0,115,0,0,0,0,0,0,1,0,0,0,0,5.489944
1987M09,862.6800,16421.520,0,0,0,0,0,0,142.4,8780000000,91.81,0,0,1,116,0,0,0,0,0,0,0,1,0,0,0,5.253351
1987M10,692.2970,16128.660,0,0,0,0,0,0,141.5,8720000000,91.24,0,0,1,117,0,0,0,0,0,0,0,0,1,0,0,4.292340
1987M11,451.3840,14769.440,0,0,0,0,0,0,144.4,8730000000,86.36,0,0,1,118,0,0,0,0,0,0,0,0,0,1,0,3.056202
1987M12,766.4015,34192.180,0,0,0,0,0,0,147.1,9170000000,83.70,0,0,0,119,0,0,0,0,0,0,0,0,0,0,1,2.241452
1988M01,1794.5160,17537.230,0,0,0,0,0,0,147.9,8780000000,84.38,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,10.232610
1988M02,972.8010,25518.910,0,0,0,0,0,0,145.4,8220000000,86.10,0,0,0,121,1,0,0,0,0,0,0,0,0,0,0,3.812079
1988M03,738.5085,36649.190,0,0,0,0,0,0,146.4,8750000000,84.92,1,0,0,122,0,1,0,0,0,0,0,0,0,0,0,2.015074
1988M04,786.1805,18668.000,0,0,0,0,0,0,148.9,8730000000,84.18,1,0,0,123,0,0,1,0,0,0,0,0,0,0,0,4.211380
1988M05,849.0650,19710.660,0,0,0,0,0,0,149.1,8960000000,85.03,1,0,0,124,0,0,0,1,0,0,0,0,0,0,0,4.307644
1988M06,895.4205,38521.530,0,0,0,0,0,0,150.5,8830000000,87.96,0,1,0,125,0,0,0,0,1,0,0,0,0,0,0,2.324467
1988M07,814.3615,19679.380,0,0,0,0,0,0,153.4,9360000000,91.96,0,1,0,126,0,0,0,0,0,1,0,0,0,0,0,4.138146
1988M08,589.4220,31686.860,0,0,0,0,0,0,154.8,9420000000,93.76,0,1,0,127,0,0,0,0,0,0,1,0,0,0,0,1.860147
1988M09,529.7335,16370.340,0,0,0,0,0,0,155.3,8800000000,93.70,0,0,1,128,0,0,0,0,0,0,0,1,0,0,0,3.235935
1988M10,968.0375,15653.960,0,0,0,0,0,0,156.7,8990000000,90.93,0,0,1,129,0,0,0,0,0,0,0,0,1,0,0,6.183978
1988M11,794.0600,45716.610,0,0,0,0,0,0,157.5,8920000000,87.76,0,0,1,130,0,0,0,0,0,0,0,0,0,1,0,1.736918
1988M12,1087.8060,29580.500,0,0,0,0,0,0,159.0,9550000000,87.78,0,0,0,131,0,0,0,0,0,0,0,0,0,0,1,3.677443
